,제목,장르모음,출연진,개봉일,등급,상영시간,기본장르
0,릴리해머,"드라마,노르웨이 작품,코미디 시리즈,범죄 시리즈,스칸디나비아 TV 쇼",스티븐 밴 잔트 트론 파우사 스티나르 새건 로버트 스키예슈타드 토미 칼슨 프리드쇼프 소헤임 마리안 소스타트 오테센,2012 ,"
청불 ", 시즌 3개 , 코미디
0,나이브스 아웃: 글래스 어니언,"코미디 영화,미스터리 영화,미국 영화",다니엘 크레이그 에드워드 노튼 자넬 모네 데이브 바티스타 케이트 허드슨 캐스린 한 레슬리 오덤 주니어 제시카 헤닉 매들린 클라인,2022 ,"
15+ ", 2시간 21분 , 코미디
0,돌아온다,"영화(연극 원작),드라마 영화",김유석 손수현,2017 ,"
12+ ", 1시간 35분 , 드라마 장르
0,여인의 향기,"고전 영화,드라마 영화,도서 원작 영화,미국 영화",알 파치노 크리스 오도넬 제임스 레브혼 가브리엘 앤워 필립 시모어 호프먼 리처드 벤처 브래들리 휫퍼드 로첼 올리버,1992 ,"
청불 ", 2시간 36분 , 드라마 장르
0,아무것도 하고 싶지 않아,"로맨틱한 드라마,드라마,웹툰 원작 한국 드라마,한국 드라마",김설현 임시완 신은수 박예영 곽민규 방재민,2022 ,"
15+ ", 시즌 1개 , 드라마 장르
0,뮤트,"드라마,스페인 작품,미스터리 시리즈,스릴러 시리즈",아론 피페르 알무데나 아모르 크리스티나 코바니 아이토르 루나 마누 리오스 아리아 베드마르 라미로 블라스 미켈 로사다,2023 ,"
청불 ", 시즌 1개 , 드라마 장르
0,신기한 스쿨 버스,"키즈 시리즈,도서 원작 시리즈,키즈 교육 영화,만화 시리즈",릴리 톰린 다니엘 드산토 에리카 루트렐 마이아 필라 야마나카 리사 타라 마이어 스튜어트 스톤 말콤 자말 워너 대니 탐버렐리,1994 ,"
전체관람가 ", 시즌 1개 , 키즈
0,존 멀레이니: 더 컴백 키드,스탠드업 코미디,존 멀레이니,2015 ,"
청불 ", 1시간 1분 , 코미디
0,트레일러 파크 보이즈: 세이 굿바이 투더 배드 가이스,"코미디 영화,미국 영화",존 폴 트렘블레이 롭 웰스 존 던스워스 패트릭 로치 루시 드코트리 사라 던스워스 배리 던 제나 해리슨 셸리 톰슨 타이론 파슨스,2008 ,"
청불 ", 46분 , 코미디
0,스팟리스,"프랑스 작품,드라마,범죄 시리즈,스릴러 시리즈",마크 앙드레 그롱당 데니스 메노체트 미란다 레이슨 더그 앨런 리암 개리건 키아런 오웬스 케이트 매고원 타냐 피어 나오미 래드클리프 루시 에크허스트 젬마 도노반 니얼 헤이스 브랜든 코일,2015 ,"
청불 ", 시즌 1개 , 드라마 장르
0,저스틴 팀버레이크 + 테네시 키즈,"음악,콘서트 실황,미국 영화",저스틴 팀버레이크,2016 ,"
12+ ", 1시간 30분 , 음악(논픽션)
0,아이보리 게임: 상아 전쟁,"다큐멘터리 영화,자연 & 생태 다큐멘터리,과학 & 자연 다큐멘터리,미국 영화",,2016 ,"
15+ ", 1시간 52분 , 다큐멘터리
0,영국의 성 속에 숨겨진 비밀,"영국 작품,다큐멘터리·역사,다큐시리즈",댄 존스,2015 ,"
12+ ", 시즌 2개 , 다큐멘터리
0,OA,"드라마,SF 시리즈,미스터리 시리즈,미국 TV 프로그램,스릴러 시리즈",브릿 말링 제이슨 아이작스 에머리 코언 패트릭 깁슨 킹슬리 벤-아디르 스콧 윌슨 앨리스 크리지 필리스 스미스 브렌던 마이어 브랜던 퍼레아 이언 알렉산더 윌 브릴 파스 베가 클로이 러빈 샤론 반 에튼 리즈 아메드,2016 ,"
청불 ", 시즌 2개 , 드라마 장르
0,아이 좀비,"미스터리 시리즈,코미디 시리즈,미국 TV 프로그램,호러 시리즈,코믹스 원작 시리즈",로즈 머카이버 말콤 굿윈 라훌 콜리 로버트 버클리 데이비드 앤더스 앨리슨 미칼카 브라이스 호지슨 로버트 네퍼,2015 ,"
청불 ", 시즌 5개 , 호러
0,"닐 브레넌: 마이크 셋, 고백 하나",스탠드업 코미디,닐 브레넌,2017 ,"
청불 ", 1시간 5분 , 코미디
0,넥톤 패밀리 심해원정대,"키즈 시리즈,호주 작품,만화 시리즈,코믹스 원작 시리즈",빈센트 통 애슐리 볼 캐슬린 바 마이클 돕슨,2015 ,"
전체관람가 ", 시즌 1개 , 키즈
0,스타트렉: 딥 스페이스 나인,"SF 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램",에이버리 브룩스 나나 비지터 린 어벌조노이스 시록 로프톤 알렉산더 시디그 콜름 미니 아민 쉬머만 테리 파렐 마이클 돈,1993 ,"
12+ ", 시즌 7개 , SF
0,베르사유,"프랑스 작품,정치 시리즈,드라마,시대물,TV 프로그램·실화 바탕",조지 블래그든 알렉산더 블라호스 타이 러니언 스튜어트 보먼 에반 윌리엄스 엘리사 레이사우스키 조 셰리던 스티브 커민 애나 브루스터 매디슨 자이자니 핍 토렌스 캐서린 워커 리지 브로셰르 제프리 베이트먼,2015 ,"
청불 ", 시즌 1개 , 드라마 장르
0,이카로스,"다큐멘터리 영화,범죄 실화 다큐멘터리,미국 영화",브라이언 포겔 그리고리 로드첸코프,2017 ,"
15+ ", 2시간 1분 , 다큐멘터리
0,남부의 여왕,"드라마,도서 원작 시리즈,액션 & 어드벤처 시리즈,범죄 시리즈,미국 TV 프로그램",알리시 브라가 헴키 마데라 피터 개디오 베로니카 팔콘 몰리 버넷 조아킹 드알메이다 얀시 아리아스 저스티나 마차도 제라도 타라세나,2016 ,"
청불 ", 시즌 5개 , 액션
0,원점 수사,"음악,드라마,도서 원작 시리즈,힙합,범죄 시리즈,미국 TV 프로그램,TV 프로그램·실화 바탕",조시 더멜 지미 심슨 보킴 우드바인,2017 ,"
청불 ", 시즌 1개 , 드라마 장르
0,도쿄 구울,"SF & 판타지 애니,액션 애니,일본 작품,애니 시리즈,호러 애니메이션,호러 시리즈,일본 만화 원작 시리즈",하나에 나츠키 아마미야 소라 하나자와 카나 미야노 마모루 스고 타카유키 모로호시 스미레 코니시 카츠유키 도요나가 도시유키 아사누마 신타로 이시카와 카이토 우치다 유마 후지와라 나츠미 사쿠라 아야네,2014 ,"
19+ ", 시즌 3개 , 애니
0,루머의 루머의 루머: 그리고 진실,"다큐시리즈,미국 TV 프로그램",브라이언 요키 얼리샤 보 딜런 미넷 캐서린 랭퍼드 케이트 월시 데릭 루크 저스틴 프렌티스 브랜던 플린 마일스 하이저 크리스천 나바로 톰 매카시 셀레나 고메즈 맨디 티피 제이 애셔 로나 후 헬렌 슈 리베카 헤드릭 알렉시스 존스 일레인 웰터로스 줄리아 빅널 크리스틴 무티에 닉 셰프 캐리 골드버그 앤 윈터스 조이 고먼 브랜던 버틀러 머리사 조 세러 수잰 팀스,2017 ,"
청불 ", 시즌 3개 , 다큐멘터리
0,굿 걸스,"드라마,코미디 시리즈,범죄 시리즈,미국 TV 프로그램",크리스티나 헨드릭스 레타 메이 휘트먼 매슈 릴러드 리노 윌슨 매니 몬태나 리디아 주잇 아이제이아 스태너드 제임스 레슈어 데이비드 혼즈비 잭 길퍼드,2018 ,"
청불 ", 시즌 4개 , 코미디
0,존 멀레이니: 라디오 시티 스탠드업,스탠드업 코미디,존 멀레이니,2018 ,"
청불 ", 1시간 4분 , 코미디
0,헌팅맨,"자연 & 생태 다큐멘터리,과학 & 자연 TV 프로그램,과학 & 자연 다큐멘터리,다큐시리즈,미국 TV 프로그램",스티븐 리넬라,2012 ,"
15+ ", 시즌 5개 , 다큐멘터리
0,브레인차일드: 이런 것도 과학이야?,"키즈 시리즈,가족이 함께 보는 시리즈,키즈 교육 영화,버라이어티 시리즈",사하나 스리니바산 앨리 워드 벤 사이드먼,2018 ,"
전체관람가 ", 시즌 1개 , 키즈
0,러시아 인형처럼,"드라마,코미디 시리즈,미국 TV 프로그램",나타샤 리온 찰리 바넷 그레타 리 클로에 세비니 엘리자베스 애슐리 애니 머피 브렌단 섹스톤 율 바스케스 다샤 폴랑코 제러미 밥 리베카 헨더슨 브룩 팀버 릴리아스 화이트 산도르 푼텍 추코르 벌라주 치비 게르게이 몰나르 피로슈커 필리프 드로스테 어첼 툴리안,2019 ,"
청불 ", 시즌 2개 , 코미디
0,이파네마의 여인들,"음악,로맨틱한 드라마,드라마,브라질 작품",마리아 카자데바우 파치 지제주스 메우 리즈보아 라리사 누니스 레안드루 리마 구스타부 마샤두 이카루 시우바 알레샨드리 시올레치 알레한드로 클라보 구스타부 바스 페르난다 바스콘셀루스,2019 ,"
청불 ", 시즌 2개 , 드라마 장르
0,루폴의 드래그 레이스: 꺼내봐!,"토크쇼,경쟁 리얼리티 시리즈,리얼리티 시리즈,미국 TV 프로그램",,2010 ,"
청불 ", 시즌 2개 , 리얼리티 TV
0,일곱 번의 일요일,"필리핀 작품,코미디 영화",로날도 발데스 아가 물락 딩동 단테스 엔리케 힐 크리스틴 레예스 도니타 로즈 케첩 유세비오 카스카이 바우티스타 키안 시프리아노,2017 ,"
15+ ", 2시간 8분 , 코미디
0,언더커버,"드라마,범죄 시리즈,스릴러 시리즈",톰 바스 프랑크 라머르스 나즈미예 오랄 무라트 세벤 괴칸 기르기놀 괴칸 크즐부아 엘리서 스하프 야닉 판더펠더 예룬 판데르펜 마누 케르스팅 뤼트 베카르트 세바스티안 더발러 아나 드레이버르 에마 페를린던 라이몬트 티리 빔 빌라르트,2019 ,"
청불 ", 시즌 3개 , 드라마 장르
0,봄밤,"로맨틱한 드라마,드라마,한국 드라마",한지민 정해인 김준한 임성언 송승환 길해연 이무생 김창완,2019 ,"
15+ ", 시즌 1개 , 로맨스
0,인터넷으로 마약을 파는 법,"드라마,청춘 드라마,독일 작품,청소년 시리즈,코미디 시리즈,범죄 시리즈",막시밀리안 문트 다닐로 캄페리디스 리나 클렝커 다미안 하둥 레나 우르첸도프스키 레오니 베셀로 루나 샬러 비야네 미들 애멀리 트링크스 롤란트 리벨링 마렌 크로이만 미하엘 오스트로프스키 미하엘 셰르텐라이프 마르쿠사 하머르 하나 판륀테런 뤼번 브링크만 랭스턴 위벨 플로렌틴 빌 바스티안 라이버 펠릭스 괴저,2019 ,"
청불 ", 시즌 3개 , 코미디
0,보좌관,"정치 시리즈,드라마,한국 드라마,사회 문제를 다룬 드라마",이정재 신민아 이엘리야 김동준 정진영 김갑수 정웅인 임원희 김홍파,2019 ,"
15+ ", 시즌 2개 , 드라마 장르
0,"60일, 지정생존자","정치 시리즈,드라마,한국 드라마",지진희 이준혁 허준호 강한나 배종옥 김규리 손석구 최윤영 이무생,2019 ,"
15+ ", 시즌 1개 , 드라마 장르
0,살색의 감독 무라니시,"드라마,일본 작품,도서 원작 시리즈,TV 프로그램·실화 바탕",야마다 타카유키 미쓰시마 신노스케 다마야마 데쓰지 모리타 미사토 에모토 토키오 이토 사이리 도미테 아미 고토 다케노리 코유키 피에르 타키 릴리 프랭키 구니무라 준 이시바시 료 요시다 코타로 이타오 이쓰지 요 키미코 츠네마츠 유리 와타나베 다이치 메구미 니시우치 마리야 가사마쓰 쇼 마스다 유카 요시다 에이사쿠 이하라 쓰요시 미야자와 리에 이시바시 렌지 무로이 시게루,2019 ,"
청불 ", 시즌 2개 , 드라마 장르
0,동백꽃 필 무렵,"로맨틱한 드라마,드라마,한국 드라마",공효진 강하늘 김지석 오정세 염혜란 손담비 지이수 고두심,2019 ,"
15+ ", 시즌 1개 , 드라마 장르
0,또! 오해영,"코미디 시리즈,로맨틱 코미디 시리즈,한국 드라마",서현진 에릭 전혜빈 예지원 김지석 이재윤 이한위 김미경 오만석 이필모,2016 ,"
15+ ", 시즌 1개 , 코미디
0,기동전사 건담 철혈의 오펀스,"SF & 판타지 애니,액션 애니,일본 작품,애니 시리즈",카와니시 켄고 호소야 요시마사 하나에 나츠키 우메하라 유이치로 타쿠미 야스아키 무라타 타이시 아마사키 코헤이 타무라 무츠미 사이토 소마 테라사키 유카 카네모토 히사코 사쿠라이 타카히로 마츠카제 마사야 오카와 토루,2015 ,"
15+ ", 시즌 2개 , 애니
0,아이리시맨,"드라마 영화,도서 원작 영화,미국 영화",로버트 드니로 알 파치노 조 페시 하비 카이텔 레이 로마노 바비 캐너발리 애나 패퀸 스티븐 그레이엄 스테퍼니 커추바 캐스린 나두치 웰커 화이트 제시 플레먼스 잭 휴스턴 도메닉 롬바도지 루이스 캔셀미 폴 허먼 게리 바사라바 마린 아일랜드 서배스천 매니스캘코 스티븐 밴 잔트,2019 ,"
청불 ", 3시간 29분 , 드라마 장르
0,치아문난난적소시광: 우리의 따뜻했던 시절에게,"중국 본토 시리즈,청춘 드라마,도서 원작 시리즈,청소년 시리즈",싱페이 린이 탕샤오톈 이사 저우쯔신 정잉천 차이강 량아이치 룽룽 허창,2019 ,"
15+ ", 시즌 1개 , 로맨스
0,보이스,"드라마,태국 작품,미스터리 시리즈,범죄 시리즈,스릴러 시리즈",앤드루 그레그슨 케마닛 짜미꼰 나타랏 노파라따야폰 팟 찻보리락 나타난 쿤왓 삐야왓 니왓웡 찰랏 나 송클라 사란유 쁘라차끄릿 타농삭 수파깐 수파싯 친위닛꾼 팍사난 타나마하타위낏,2019 ,"
청불 ", 시즌 1개 , 스릴러
0,뛰뛰빵빵! 코리의 모험,"키즈 시리즈,만화 시리즈",AC 림 폴 킬럼 케리 구드욘슨 메이지 벤슨 스미스 포먼 애들레이드 히라사키 니나시나이 심포 일라이 모스 짐 카포비앙코 엘라 조이 발레스테로스,2020 ,"
전체관람가 ", 시즌 6개 , 키즈
0,기리 / 하지,"드라마,영국 작품,범죄 시리즈",히라 타케히로 켈리 맥도널드 고보즈카 요스케 윌 샤프 오쿠야마 아오이 모토키 마사히로 나카무라 유코 오카 미쓰코 애나 사와이 찰리 크리드 마일즈,2019 ,"
청불 ", 시즌 1개 , 드라마 장르
0,죽음의 진통제,"범죄 시리즈,다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램,범죄 실화 다큐멘터리",,2020 ,"
청불 ", 시즌 1개 , 다큐멘터리
0,아이 엠 낫 오케이,"드라마,청춘 드라마,청소년 시리즈,코미디 시리즈,미국 TV 프로그램,판타지 시리즈",소피아 릴리스 와이엇 올레프 캐슬린 로즈 퍼킨스 소피아 브라이언트 리처드 엘리스 소피아 테이텀 데이비드 투니 재커리 S. 윌리엄스 에이든 워이탁-히송,2020 ,"
청불 ", 시즌 1개 , 코미디
0,슬기로운 의사생활,"메디컬 시리즈,드라마,코미디 시리즈,한국 드라마",조정석 유연석 정경호 김대명 전미도 김해숙 김갑수 정문성,2020 ,"
15+ ", 시즌 2개 , 드라마 장르
0,네버 해브 아이 에버,"드라마,청춘 드라마,청소년 시리즈,코미디 시리즈,미국 TV 프로그램",마이트레이 라마크리슈난 푸르나 자가나탄 리차 무르자니 란지타 차크라베르티 존 매켄로 라모나 영 리 로드리게스 메건 수리 재런 루이슨 대런 바넷 크리스티나 카치너 커먼 애덤 샤피로 니시 내시-베츠 센딜 라마 머시,2020 ,"
15+ ", 시즌 4개 , 코미디
0,LEGO: 닌자고,"키즈 시리즈,캐나다 작품,만화 시리즈",마이클 애덤스웨이트 폴 돕슨 켈리 메츠거 브렌트 밀러 커비 머로우 폴린 뉴스톤 빈센트 통 샘 빈센트,2019 ,"
7+ ", 시즌 4개 , 키즈
0,프랑크의 마지막 질문,"토크쇼,독일 작품",클라스 호이퍼움라우프 요코 빈터샤이트 레나 마이어란트루트 샤를로테 로쉬 다니엘 브륄 프랑크 엘스트너,2020 ,"
15+ ", 시즌 1개 , 버라이어티 시리즈 & 토크쇼
0,배드 빌리어네어: 인도,"영국 작품,다큐시리즈,사회 & 문화 다큐멘터리",,2020 ,"
12+ ", 시즌 1개 , 다큐멘터리
0,에일리언 월드,"영국 작품,SF 시리즈,자연 & 생태 다큐멘터리,과학 & 자연 다큐멘터리,다큐시리즈",,2020 ,"
12+ ", 시즌 1개 , 다큐멘터리
0,허니와 클로버,"일본 작품,로맨틱한 영화,청춘 영화",사쿠라이 쇼 아오이 유 이세야 유스케 가세 료 세키 메구미 니시다 나오미 사카이 마사토,2006 ,"
전체관람가 ", 1시간 55분 , 로맨스
0,더 레슬러,"드라마 영화,인디 영화,미국 영화",미키 루크 머리사 토메이 에번 레이철 우드 마크 마골리스 토드 배리 와스 스티븐스 주다 프리드랜더 어니스트 밀러 딜런 서머스 토미 파라 마이크 밀러,2008 ,"
청불 ", 1시간 49분 , 드라마 장르
0,아웃사이드 더 와이어,"SF 영화,액션 & 어드벤처 영화,미국 영화",앤서니 매키 댐슨 이드리스 에밀리 비첨 마이클 켈리 필루 아스베크,2021 ,"
15+ ", 1시간 55분 , SF
0,당신의 눈을 속이다: 세기의 미술품 위조 사건,"캐나다 작품,다큐멘터리 영화,범죄 실화 다큐멘터리",,2020 ,"
15+ ", 1시간 30분 , 다큐멘터리
0,싸우자 귀신아,"태국 작품,코미디 시리즈,로맨틱 코미디 시리즈,호러 시리즈",수파퐁 우돔깨우깐짜나 파차난 찌아찌라촛 통품 시리피팟 아피윗 리어던 꼰라윗 숭낏분 와라타야 웡차야폰 완나삭 시릴라,2021 ,"
15+ ", 시즌 1개 , 호러
0,프리 투 플레이,"다큐멘터리 영화,미국 영화",,2014 ,"
12+ ", 1시간 15분 , 다큐멘터리
0,식샤를 할까요?,"태국 작품,코미디 시리즈,로맨틱 코미디 시리즈",아핀야 사꾼짜른숙 마윈 타위폰 낫 삭다톤 마니랏 캄우안 짜뚜롱 목쪽 피사마이 윌라이삭 랏끌라오 아마라딧 차차야 수티수완 빠나퐁 카이생 메이 하스,2021 ,"
15+ ", 시즌 1개 , 코미디
0,섹스/라이프,"로맨틱한 드라마,드라마,도서 원작 시리즈,미국 TV 프로그램",세라 샤히 마이크 보걸 애덤 데모스 마거릿 오뎃,2021 ,"
청불 ", 시즌 2개 , 드라마 장르
0,"다음 역, 행복","로맨틱한 드라마,드라마,대만 작품",안이헌 오건호 쉬웨이닝 우캉런 샤오샤오 빈,2009 ,"
15+ ", 시즌 1개 , 드라마 장르
0,애비 해처,"키즈 시리즈,캐나다 작품,어린이 음악,만화 시리즈",메이시 드루인 와이엇 화이트 폴 선형 리 미켈라 루시 크리스천 달 도소 라이바 알비 리오 오길,2018 ,"
전체관람가 ", 시즌 1개 , 키즈
0,내 인생 특별한 숲속 여행,"뉴질랜드 작품,코미디 영화,인디 영화,도서 원작 영화,액션 & 어드벤처 영화",샘 닐 줄리언 데니슨 리마 테 위아타 레이철 하우스 티오레오레 응아타이멜번 오스카 카이틀리 스탠 워커 마이크 미노그 코언 홀러웨이 라이스 다비,2016 ,"
12+ ", 1시간 41분 , 코미디
0,블리피,"키즈 시리즈,어린이 음악,키즈 교육 영화",클레이턴 그림,2014 ,"
전체관람가 ", 시즌 2개 , 키즈
0,제인 폰다 & 릴리 톰린: 레이디스 나이트 라이브,스탠드업 코미디,제인 폰다 릴리 톰린 헤더 맥매언 미셸 뷰토 크리스텔라 알론소 일라이자 슐레싱거 트레이시 애슐리 안젤라 존슨 마거릿 조 엘리엇 글레이저 레이철 블룸 브루클린 데커 준 다이앤 라파엘,2022 ,"
청불 ", 1시간 , 코미디
0,토고,드라마 영화,디에고 알론소 카탈리나 아리야가 네스토르 프리에토 루이스 알베르토 아코스타 사브리나 발리엔테 페데리코 모로시니 호세 파가노,2022 ,"
청불 ", 1시간 35분 , 드라마 장르
0,록우드 심령 회사,"드라마,청춘 드라마,영국 작품,도서 원작 시리즈,청소년 시리즈,미스터리 시리즈,판타지 시리즈",루비 스토크스 캐머런 채프먼 알리 하지헤슈마티 이바노 제러마이아 잭 반데이라 루크 트레더웨이 모븐 크리스티 벤 크럼프턴 헤일리 코나두,2023 ,"
15+ ", 시즌 1개 , 드라마 장르
0,시간은 충분해,"이탈리아 작품,로맨틱 코미디 영화,코미디 영화,로맨틱한 영화",에도아르도 레오 바르바라 롱키 마리오 스구엘리아 프란체스카 카발린 라즈 데간 마시모 베르트뮐러 스텔라 트로타 안드레아 푸르가토리,2023 ,"
15+ ", 1시간 48분 , 코미디
0,본 아이덴티티,"도서 원작 영화,액션 & 어드벤처 영화,미국 영화",맷 데이먼 프랑카 포텐테 크리스 쿠퍼 브라이언 콕스 클라이브 오언 애디왈레이 애키노예이아그바제이 가브리엘 만 월턴 고긴스 조시 해밀턴 줄리아 스타일스 오르소 마리아 구에리니,2002 ,"
12+ ", 1시간 58분 , 액션
0,마르코 폴로: 백안,"드라마,액션 & 어드벤처 시리즈,시대물,미국 TV 프로그램,TV 프로그램·실화 바탕",탐 우 베네딕트 웡 양자경,2015 ,"
청불 ", 28분 , 드라마 장르
0,안소니 제셀닉: 생각과 기도,스탠드업 코미디,안소니 제셀닉,2015 ,"
청불 ", 59분 , 코미디
0,트랜스포머 프라임,"키즈 시리즈,만화 시리즈",피터 컬런 수말리 몬타노 프랭크 웰커 제프리 콤스 케빈 마이클 리처드슨 타니아 구나디 조쉬 키튼 스티브 블럼 앤디 페소아 어니 허드슨 다란 노리스 윌 프리들,2010 ,"
12+ ", 시즌 1개 , 키즈
0,레모니 스니켓의 위험한 대결,"키즈 시리즈,드라마,가족이 함께 보는 시리즈,도서 원작 시리즈,코미디 시리즈",닐 패트릭 해리스 패트릭 워버턴 말리나 와이스먼 루이스 하인스 K. 토드 프리먼 조앤 쿠삭 아시프 맨드비 아비 레이크 딜런 킹웰 루시 펀치 세라 루 로저 바트 네이선 필리언 키타나 턴불 이서마 엔리케즈 민디 스테어링 캐럴 맨셀 켄 젱킨스 데이비드 앨런 그리어 케리 케니 존 보벡 앨리슨 윌리엄스,2017 ,"
12+ ", 시즌 3개 , 키즈
0,산타클라리타 다이어트,"코미디 시리즈,미국 TV 프로그램,호러 시리즈",드루 배리모어 티머시 올리펀트 리브 휴슨 스카일러 기손도,2017 ,"
청불 ", 시즌 3개 , 코미디
0,스타트렉: 보이저,"가족이 함께 보는 시리즈,SF 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램",케이트 멀그루 로버트 벌트런 록산느 더우손 제니퍼 리언 로버트 던컨 맥닐 에단 필립스 로버트 피카르도 팀 러스 제리 라이언 개릿 왕 타리크 에르긴,1995 ,"
12+ ", 시즌 7개 , SF
0,루머의 루머의 루머,"드라마,청춘 드라마,도서 원작 시리즈,청소년 시리즈,미스터리 시리즈,미국 TV 프로그램",딜런 미넷 캐서린 랭퍼드 얼리샤 보 브랜던 플린 저스틴 프렌티스 로스 버틀러 크리스천 나바로 데빈 드루이드 마일스 하이저 브렌다 스트롱 그레이스 사이프 케이트 월시 데릭 루크 티머시 그라나데로스 에이미 하그리브스 윌슨 크루즈 앤 윈터스 브라이스 캐스 RJ 브라운 브라이언 다시 제임스,2017 ,"
청불 ", 시즌 4개 , 드라마 장르
0,미라큘러스: 레이디버그와 블랙캣,"키즈 시리즈,만화 시리즈",크리스티나 발렌주에라 브라이스 파펜브룩 키스 실버스타인 멜라 리 맥스 미틀먼 바버라 해리스,2019 ,"
7+ ", 시즌 5개 , 키즈
0,헬로 브로드웨이 코미디 쇼,스탠드업 코미디,닉 크롤 존 멀레이니,2017 ,"
청불 ", 1시간 42분 , 코미디
0,매니악,"드라마,SF 시리즈,코미디 시리즈,미국 TV 프로그램",엠마 스톤 조나 힐 저스틴 서루 샐리 필드 게이브리얼 번 소노야 미즈노 줄리아 가너 빌리 매그너슨 제마이마 커크,2018 ,"
청불 ", 시즌 1개 , 드라마 장르
0,어글리 딜리셔스,"음식 & 여행 시리즈,여행 & 어드벤처 다큐멘터리,다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램,라이프스타일",데이비드 장 피터 미언,2018 ,"
15+ ", 시즌 2개 , 다큐멘터리
0,바이킹 따라잡기,"시트콤,노르웨이 작품,코미디 시리즈,스칸디나비아 TV 쇼",코레 콘라디 실리에 토르프 닐스 예르겐 콜스타 마리안 소스타트 오테센 트론 파우사 크리스티네 리스 욘 외이가르덴 헨리크 메스타 외이스테인 마르틴센 미켈 브라트 실세트 마스 예르겐센 니키스 테오필라키스 스티그 프로데 헨릭센 비에른 뮈레네 안드레 에릭센,2016 ,"
청불 ", 시즌 3개 , 코미디
0,유성화원,"로맨틱한 드라마,드라마,중국 본토 시리즈,청춘 드라마,청소년 시리즈,일본 만화 원작 시리즈",선웨 왕허디 관훙 량징캉 우시쩌,2018 ,"
12+ ", 시즌 1개 , 로맨스
0,그레이스,"드라마,캐나다 작품,도서 원작 시리즈,시대물,범죄 시리즈",세라 개던 에드워드 홀크로프트 폴 그로스 애나 패퀸 리베카 리디어드 제커리 레비 커 로건 데이비드 크로넌버그,2017 ,"
청불 ", 시즌 1개 , 드라마 장르
0,엘 차포: 터널 킹,"드라마,액션 & 어드벤처 시리즈,범죄 시리즈,미국 TV 프로그램,스릴러 시리즈",마르코 데라오 움베르토 부스토 알레한드로 아길라르 로드리고 아베드 루이스 페르난도 페냐 후안 카를로스 올리바스 롤프 페터젠 카를로스 에르난 로모 엑토르 올텐 디에고 바스케스 테테 에스피노사 루이스 라바고 돌로레스 에레디아 크리스티나 미차우스 발렌티나 아코스타 줄리엣 파르다우 아브릴 슈라이베르,2017 ,"
청불 ", 시즌 3개 , 스릴러
0,꽃들의 집,"드라마,멕시코 작품,코미디 시리즈",세실리아 수아레스 아이슬린 데르베스 다리오 야스베크 베로니카 카스트로 후안 파블로 메디나 아르투로 리오스 파코 레온 노르마 앙헬리카 베로니카 랑게르 다비드 오소트로스키 마리아나 트레비뇨 루이스 데 라 로사 이사벨 부르 나타샤 두페이론 루카스 벨라스케스 알렉사 데 란다,2018 ,"
청불 ", 시즌 3개 , 코미디
0,테라스 하우스: 새로운 시작,"일본 작품,결혼식 & 로맨스 리얼리티 TV,리얼리티 시리즈",유 트린들 레이나 토쿠이 요시미 바바조노 아즈사 야마사토 료타 하야마 쇼노,2017 ,"
15+ ", 시즌 4개 , 리얼리티 TV
0,전하를 조심해,"로맨틱한 드라마,드라마,중국 본토 시리즈,청춘 드라마,도서 원작 시리즈,코미디 시리즈,로맨틱 코미디 시리즈",궈쥔천 쑨이닝 자오이친 청무쉬안 마리 저우모,2018 ,"
15+ ", 시즌 1개 , 코미디
0,쿨리파리: 드림워커 구출 작전,"키즈 시리즈,도서 원작 시리즈,만화 시리즈",마크 해밀 제스 하넬 필 러마 조쉬 키튼 마이키 켈리 에이미 마골리스 웬디 말릭 케빈 마이클 리처드슨 캔디 마일로 러레인 뉴먼 찰리 애들러,2018 ,"
전체관람가 ", 시즌 1개 , 키즈
0,알함브라 궁전의 추억,"SF 시리즈,스릴러 시리즈,한국 드라마",현빈 박신혜 박훈 김용림 찬열 이레 이학주 이시원 김의성,2018 ,"
15+ ", 시즌 1개 , SF
0,파티셰를 잡아라! 메리 크리스마스!,"가족이 함께 보는 시리즈,음식 & 여행 시리즈,경쟁 리얼리티 시리즈,리얼리티 시리즈,미국 TV 프로그램",니콜 바이어 자크 토레스,2018 ,"
12+ ", 시즌 2개 , 리얼리티 TV
0,3 언더: 아카디아의 전설,"키즈 시리즈,가족이 함께 보는 시리즈,만화 시리즈",타티아나 마슬라니 디에고 루나 닉 오퍼먼 아론 어바웃불 우조 아두바 헤일리 애트웰 닉 프로스트 앤디 가르시아 제니퍼 헤일 셰릴 하인즈 톰 케니 글렌 클로즈 대린 드 폴 크리스 오비 콜 샌드 프랭크 웰커 스티븐 연 이케 아마디 러레인 뉴먼 찰리 색스턴,2018 ,"
전체관람가 ", 시즌 2개 , 키즈
