,제목,장르모음,출연진,개봉일,등급,상영시간,기본장르
0,프롬 스크래치,"로맨틱한 드라마,드라마,도서 원작 시리즈,미국 TV 프로그램",조이 살다냐 에우제니오 마스트란드레아 키스 데이비드 대니엘 데드와일러 주디스 스콧 켈리타 스미스 루치아 사르도 파리데 베나사이 로베르타 리가노,2022 ,"
15+ ", 시즌 1개 , 드라마 장르
0,우리는 사자와 산다,"다큐멘터리 영화,과학 & 자연 다큐멘터리,미국 영화",,2006 ,"
12+ ", 시즌 1개 , 다큐멘터리
0,런닝맨,"키즈 시리즈,코미디 시리즈,만화 시리즈",김서영 권창욱 엄상현 김연우 강시현 전태열 남도형 박노식 정유정 신경선,2017 ,"
7+ ", 시즌 2개 , 키즈
0,카우보이 비밥,"SF & 판타지 애니,액션 애니,일본 작품,애니 시리즈,드라마 장르 애니메이션",야마데라 고이치 이시즈카 운쇼 하야시바라 메구미 다다 아오이 다카시마 가라 와카모토 노리오 다루키 쓰토무 나가사와 미키,1998 ,"
19+ ", 시즌 1개 , 애니
0,피파,"아르헨티나 작품,스릴러 영화,미스터리 영화,도서 원작 영화,사회 이슈 드라마 장르 영화",루이사나 로필라토 마우리시오 파니아과 이네스 에스테베스 아리엘 스탈타리 파울리나 가르시아 말레나 나르바이 아킬레스 카사베야 벵하민 델 세로 산티아고 아르테미스 라우라 곤살레스,2022 ,"
청불 ", 1시간 56분 , 드라마 장르
0,노트르담,"프랑스 작품,드라마,도서 원작 시리즈,TV 프로그램·실화 바탕",로슈디 젬 카롤린 프루스트 메건 노섬 시몽 아브카리앙 알리스 이사즈 산도르 푼텍 마리 자부코베크 코랑탱 필라 카셈 알코자 라야드 모하메드 프레데리크 쇼,2022 ,"
청불 ", 시즌 1개 , 드라마 장르
0,블랙 미러,"드라마,영국 작품,SF 시리즈,스릴러 시리즈",제시 플레먼스 크리스틴 밀리오티 지미 심슨 미케일라 코얼 로즈마리 드윗 더글라스 하지 안드레아 라이즈보로 브레나 하딩 오웬 티그 앤드루 고워 키란 소냐 사와 조지나 캠벨 조 콜 맥신 피크 제이크 데이비스 클린트 다이어 러티샤 라이트 뱁스 울루사모쿤 브라이스 댈러스 하워드 앨리스 이브 마이클 켈리 체리 존스 구구 음바타로 매켄지 데이비스 와이엇 러셀 베네딕트 웡 켈리 맥도널드 페이 마르세이 매들린 브루어 해나 존카먼 맬러카이 커비 알렉스 로더 제롬 플린 제임스 노턴 로리 키니어 린제이 던칸 대니얼 컬루야 제시카 브라운 핀들리 루퍼트 에버릿 토비 켑벨 조디 휘테커 헤일리 애트웰 도널 글리슨 레노라 크릭클로우 마이클 스마일리 다니엘 리그비 클로이 피리 제이슨 플레밍 존 햄 우나 채플린 레이프 스폴 앤서니 매키 야히아 압둘마틴 2세 태미 브라운 앤드루 스콧 댐슨 이드리스 토퍼 그레이스 마일리 사이러스 매디슨 대븐포트 앵거리 라이스 애니 머피 셀마 헤이엑 새뮤얼 블렝킨 마이할라 헤럴드 에런 폴 조시 하트넷 케이트 마라 자시 베츠 클라라 루고르 대니 라미레즈 안자나 바산 파파 에시에두,2011 ,"
청불 ", 시즌 6개 , 드라마 장르
0,피키 블라인더스,"드라마,영국 작품,시대물,범죄 시리즈",킬리언 머피 샘 닐 헬렌 매크로리 폴 앤더슨 이도 골드버그 애나벨 월리스 소피 런들 톰 하디 조 콜 네드 데네히 앤디 나이맨 찰리 크리드 마일즈 샬롯 라일리 데이비드 도슨 제프리 포스틀스웨이트 매튜 포스틀스웨이트 이언 펙 토니 피츠 에이든 길런 에이드리언 브로디 찰리 머피 에이미 피온 에드워즈 안야 테일러조이 샘 클래플린 핀 콜 너태샤 오키프,2013 ,"
청불 ", 시즌 6개 , 드라마 장르
0,하우스 오브 카드,"정치 시리즈,드라마,미국 TV 프로그램,스릴러 시리즈",로빈 라이트 마이클 켈리 다이앤 레인 그레그 키니어 캠벨 스코트 퍼트리샤 클라크슨 데릭 세실 코디 펀 보리스 맥가이버 사키나 제이프리 라르스 미켈슨 케빈 스페이시 케이트 마라 코리 스톨 크리스튼 코놀리 세바스찬 아셀러스 네이선 대로우 샌드린 홀트 마이클 길 엘리자베스 노멘트 마허샬라 알리 레지 E. 캐시 몰리 파커 엘리자베스 마블 킴 디킨스 조엘 킨나만 네브 캠벨 콘스탄스 짐머,2013 ,"
청불 ", 시즌 6개 , 스릴러
0,나르코스,"드라마,액션 & 어드벤처 시리즈,범죄 시리즈,미국 TV 프로그램,스릴러 시리즈,TV 프로그램·실화 바탕",바그네르 모라 페드로 파스칼 보이드 홀브룩 다미안 알카사르 알베르토 아만 프란시스코 데니스 페페 하파조트 마티아스 바렐라 마이클 스탈 데이빗 맷 휠런 아르투로 카스트로 하비에르 카마라 호세 마리아 야스피크 에릭 랭 브래트 컬렌 미겔 앙헬 실베스트레 케리 비쉬 폴리나 게이탠 크리스티나 우마냐 파울리나 가르시아 후안 세바스티안 칼레로 조애나 크리스티 탈리아나 바르가스 안드레아 론도 마놀로 카르도나 디에고 카타노 라울 멘데스 브루노 비쉬어 스테파니 시그먼 플로렌시아 로자노 후안 파블로 라바 레이나르 고메스 콘스탄틴 멜리호프 마르티나 가르시아 모리스 콤프티 마우리시오 쿠하르 호르헤 몬테로사 헤르만 하라미요 후안 파블로 슈크 훌리안 디아스 알레한드로 부이트라고 페데리코 리베라,2015 ,"
청불 ", 시즌 3개 , 드라마 장르
