title,contents
ISFJ(수호자) - Conclusion(결론),"['ISFJ(수호자) - Conclusion(결론)', '결론', '당신이 지금까지 읽은 것은 매우 충실하며 헌신적이고 사려깊은 수호자 유형의 간략한 소개입니다. 아마 당신은 이를 읽으면서 ""와, 이거 정확하네, 소름돋는다"" 또는 ""드디어 날 이해해주는구나!""라고 중얼거렸을지도 모릅니다. ""어떻게 나랑 친한 사람들보다 나를 더 잘알지?""라고 물어보면서 말입니다.', '수호자는 관대하고 인내심있고 결단력이 있지만 이를 인정받고 싶어하기보다는 이러한 재능을 더 나은 사람이 되고 사람들에게 도움을 줄 수 있는 방향으로 사용하려고 합니다.', 'ISFJ(수호자) - Introduction(소개) 포스팅으로 이동 ▼']"
ISFJ(수호자) - Workplace Habits(직장 습관),"['ISFJ(수호자) - Workplace Habits(직장 습관)', '직장 습관', '수호자는 직장에서 어떤 위치에 있든 헌신과 서비스 정신을 중요한 목표로 공유하고 있습니다. 이 유형의 사람들은 친절함으로 무장하여 사람들의 고민에 귀를 기울이며 문제를 해결할 수 있는 방법을 찾아주는 믿을 수 있는 사람입니다. 서로 상생하는 환경은 수호자에게 당연한 것이며, 이들처럼 일상 속에서 발생하는 장애물들을 실질적이고 명확하게 해결하는 것에 만족을 느끼는 유형도 거의 없습니다.', '수호자 직원', '직원으로서 수호자는 겸손하며 헌신의 힘이 무엇인지 보여줍니다. 인내와 헌신으로 존경받는 이들에게 필요한 것은 하나입니다. 바로 그들이 누군가에게 도움을 줬다는 만족감입니다. 그래도 이들에게 감사함을 표현한다면 더욱 좋을 것입니다.', '때로는 이들의 과도한 겸손함이 스스로를 억누를 수 있습니다. 수호자는 불필요한 충돌을 피하기 위해 자신의 성과를 드러내지 않는 경향이 있으며, 안타깝게도 이러한 점은 승진과 관련된 평가에서 그들의 상사가 이들을 간과하게 만드는 요소로 작용하기도 합니다.', '수호자의 겸허함은 강점입니다. 하지만 이 유형의 사람들은 확실하게 드러나는 성과를 보여주지 않는다면 기회를 잡는 것이 어려울 수 있습니다.', '수호자의 충실함과 신뢰는 이들의 상사가 매우 소중하게 여기는 가치입니다. 이 유형의 사람들은 불만을 가지지 않으며 일을 정확하게 처리하기 때문에 신뢰할 수 있습니다. 하지만 이들의 흐름을 거스르는 것을 싫어하는 성향은 시간과 에너지 소모를 피해야 하는 상황 속에서도 상사나 동료들에게 대항하는 것을 어렵게 만듭니다. 다행스럽게도 시간이 지남에 따라서 많은 수호자들은 그들의 의견을 정중하고 조심스럽게 전달하는 방법을 배웁니다.', '수호자 동료', '수호자에게는 경쟁보다 동료와 함께 일할 수 있는 환경이 이상적입니다. 모두가 같은 목표를 공유하고 협업하는 환경입니다. 친밀하며 서로 지원해 주는 분위기는 이타적인 수호자 유형이 헌신과 따뜻함을 보여줄 수 있는 매우 좋은 환경입니다.', '수호자는 자연스럽게 동료와 관계를 구축합니다. 이들은 상황을 부드럽게 만들고 상대방을 잘 헤아릴 수 있는 능력을 가지고 있습니다.', '반대로 이러한 강점들은 약점이 될 수 있습니다. 갈등을 싫어하고 도움을 주고자 하는 성향을 이기적인 사람들이 이용할 수 있기 때문입니다. 비양심적인 사람들은 이들이 거절을 어려워하는 것을 알고 도움이 필요하지 않은 상황에서 도움을 요청하기도 합니다. 수호자 유형의 사람들이 이러한 경계선을 제대로 파악하지 못한다면, 자신의 강점을 살리지 못한 채 과도한 부담과 스트레스를 느끼게 될 수 있습니다.', '수호자 관리자', '수호자는 리더라는 자리에 크게 관심을 가지지 않지만, 이들의 대인 능력과 직무 윤리는 다른 사람을 이끄는 것에 적합합니다. 관리자로서 수호자는 따뜻하고 친근하며 언제나 지원해 줄 수 있는 준비가 되어있습니다. 수호자 유형의 사람들은 권력을 행사하는 것에 관심이 별로 없습니다. 이들은 업무를 원활하게 만들고 갈등을 최소화하며 직원들과 함께 일하는 것을 선호합니다. ', '수호자는 팀원들에게 공동체 의식을 심어주기 위해 노력합니다.', '수호자 관리자는 효율성을 신경 쓰면서도 직원들과의 우호적인 관계를 유지하기 위해 노력합니다. 그래서 일하지 않는 직원을 해고하는 것과 같이 달갑지 않은 상황에서 이들은 힘들다고 느낄 수 있으며, 때로는 성과가 좋지 않은 직원에게 지나친 에너지를 쏟고 있을지도 모릅니다. 하지만 이들은 이러한 상황이라도 또 한 번 기회를 주는 것을 선호합니다.']"
ISFJ(수호자) - Career Paths(직업/진로),"['ISFJ(수호자) - Career Paths(직업/진로)', '직업(진로)', '수호자는 보통 직장에서 핵심을 담당하고 있습니다. 신뢰할 수 있고 근면하며 항상 손을 내밀 수 있는 준비가 되어있기 때문입니다. 이 유형의 사람은 일을 잘 수행해내며, 이러한 점에 자부심을 느낍니다. 이들은 시간이 걸리는 일이라도 중간에 포기하지 않습니다. 이들의 견고한 직업 윤리는 다른 사람에게 도움을 주고 싶어 하는 강한 열망과 합쳐져 어떠한 직업에서도 그들을 귀중한 자원으로 만들어줍니다.', '옆에서 빛나는 사람', '수호자만큼 조연으로서 옆에서 도움을 주는 역할의 중요성을 알고 있는 유형은 거의 없습니다. 이들은 자신이 스포트라이트를 받는 것보다는 다른 사람들을 돕고 기운을 복돋아주는 것을 진심으로 즐깁니다. 수호자는 경쟁적이고 압박이 심한 일보다는 협력적이고 팀 중심으로 일할 수 있는 직장을 추구합니다.', '겸손한 수호자 유형은 언어치료, 물리치료, 의학, 사회사업과 같이 다른 사람의 개선과 성장, 치유를 촉진하는 것에서 만족감을 느낍니다. 수호자의 인내와 끈기는 도움을 받는 사람들이 적응하고 이겨낼 수 있도록 도움을 줍니다.', '수호자는 의욕적이며 믿을 수 있는 직원입니다. 정해진 일을 하고 다른 사람에게 도움을 주는 것에 꾸준하며 일관성 있는 모습을 부여줍니다.', '어떠한 직업을 가지고 있더라도 수호자는 다른 사람들을 실질적으로 도울 수 있는 일을 하고 있습니다. 이 유형의 사람들은 고민에 귀를 귀울이고 불만을 누그러뜨리며 명확한 해결책을 제시하는 고객 서비스 업무에서 뛰어난 모습을 보여줍니다. 이러한 능력은 인사, IT지원, 의전, 소매업, 사무, 사서와 같이 사람들을 도와줄 수 있는 분야의 직업에 도움이 됩니다.', '흐름을 놓치지 않는', '몇몇 유형의 사람들은 지루하고 복잡한 일을 마주할 때 기력을 잃지만, 수호자는 아닙니다. 수호자의 세심한 주의력을 가지고 있어 법률, 회계, 데이터 분석, 연구와 같이 세부적인 분야를 다루는데 강점이 있습니다. 여기서 주목해야 하는 점은 수호자는 이러한 일을 하면서도 사람을 항상 염두에 둔다는 것입니다.', '꼼꼼하고 사회적인 성향인 수호자는 다른 사람을 기억하는 것에 재능이 있습니다. 이러한 재능은 이들이 동료, 고객, 업무 관계자들과 좋은 관계를 맺을 수 있도록 도와줍니다.', '많은 재능들에도 불구하고 수호자는 인정받기를 원하거나 승진을 요구하는 경우는 거의 없으며, 자신의 일을 충실히 하는 것에 만족합니다. 전통과 안정을 존중하는 수호자는 조직의 방식에 따르는 것에 어려움을 느끼지 않으며, 적절한 시기가 된다면, 승진을 시켜줄 것이라고 생각합니다. 하지만 이렇게 인내심을 가진 수호자도 만약 그들의 헌신이 계속해서 무시당한다고 생각이 든다면 크게 좌절을 하게 될 수도 있습니다. 수호자가 관리자 역할을 맡는다면 이들은 자신들이 가지고 있는 강점이 협조적이고 생산적이며 효율적인 팀을 만드는 것에 아주 잘 맞는다는 것을 깨닫게 될 것입니다.', '충실한 수호자는 실제 문제가 있는 경우라도 자신이 실수를 하거나 조직을 떠나는 것에 있어 죄책감을 느끼기도 합니다. 하지만 인정받을 수 있고 그들의 재능을 충분히 발휘할 수 있는 환경을 찾을 수 있다면 수호자는 그들의 결단력, 신중함, 이타적인 에너지를 활용하여 이 세상을 더욱 이롭게 만들 수 있을 것입니다.', 'ISFJ(수호자) - Workplace Habits(직장 습관) 포스팅으로 이동 ▼']"
ISFJ(수호자) - Parenthood(육아/부모),"['ISFJ(수호자) - Parenthood(육아/부모)', '육아(부모)', '수호자는 배려심이 있고 확고하며, 부모로서의 책임을 진지하게 받아들이고 있습니다. 이러한 성향의 부모들은 자녀에게 안전하고 편안한 가정생활을 제공하는 것이 의무라고 생각합니다. 이러한 점은 자녀들이 능력 있고 성공적이며 행복하게 자랄 수 있도록 돕는 안정적인 기반을 형성합니다.', '하지만 육아와 관련된 부분에 있어서 수호자는 단지 부모로서의 의무감 뿐만 아니라 자녀에 대한 사랑을 통해서도 동기부여를 받습니다. 이들의 사랑은 깊고 큰 힘을 만들어냅니다. 이 유형의 많은 사람들은 육아가 단순한 책임이 아니라 이타심과 관대함, 인내심이라는 재능을 사용하여 아름다운 영혼을 세상 속에 이끄는 사명이라고 생각합니다.', '독립적인 길', '이들 유형이 전통과 안내를 중요시한다는 점에서 많은 수호자들이 부모와 자녀의 명확한 관계를 받아들이는 것은 놀라운 것이 아닙니다. 수호자는 자신의 역할을 아이들의 동료나 친한 친구보다는 애정을 가진 권위자의 역할로 인식하며 지혜와 가치관을 심어주고 상냥하지만 옳고 그른 것을 단호하게 알려줄 수 있는 사람으로 생각합니다.', '수호자는 자녀들이 책임감을 가지고 옳은 일을 하는 것의 중요성을 이해시키기 위해 헌신합니다.', '수호자 부모들은 자녀가 부모의 지도와 지원에 저항하며, 독립을 주장할 때 어려움을 느낄 수 있습니다. 대부분의 자녀들은 성장하는 과정에서 직접 시도해 보고 새로운 방법을 탐구해 보고 싶어 하며 이러한 행동들은 부모의 조언과 가치관에 어긋날 수도 있다는 사실을 알아야 합니다.', ""수호자가 이를 관리하는 것은 초기에는 어렵지 않습니다. 하지만 자녀들의 의사결정이 중요해지는 청소년, 성인 시기가 되면 더욱 어려워질 수 있습니다. 수호자의 안정성에 가치를 두며 자녀들이 '올바른' 방향으로 성장하고 있는지 확인하고 싶어 합니다. 그리고 그 올바른 방향에는 금전적, 직업적인 안정과 행복이 포함됩니다. 만약 자녀들이 '올바른' 방향으로 나아가고 있는지 걱정된다면, 수호자 부모는 매우 불안해하거나 다소 통제적으로 변할 수도 있습니다."", '풍족한 사랑', '다행히도 수호자는 그들이 얼마나 자녀를 사랑하고 있는지를 잊어버리지 않습니다. 이 성향의 부모들은 때로는 그들이 나은 방향이라고 생각하는 방향으로 자녀들을 이끌기 위해 지나치게 간섭을 할 수도 있습니다. 하지만 자녀가 다른 방향으로 나아가더라도 이들은 자녀를 사랑하는 것을 멈추지 않으며, 그들이 행복을 찾을 수 있도록 도움을 줍니다. 수호자 부모는 마음으로 자녀들을 이끌며, 이들의 마음은 자녀를 있는 그대로 받아들이고 사랑할 수 있는 충분한 공간을 가지고 있습니다.', '사실 육아는 어떠한 유형에도 쉽지는 않습니다. 만약 이들이 잘 하지 못한다고 하더라도 수호자는 자녀를 기르는 것에 책임감을 가지고 있으며 사려 깊고 배려심이 깊다는 이점을 가지고 있습니다. 종종 이상적인 부모로 여겨지는 수호자 성향의 사람은 자녀에게 안정과 안전 그리고 더욱 중요한 풍족한 사랑과 지원을 제공해 줄 수 있습니다.', 'ISFJ(수호자) - Career Path(직업/진로) 포스팅으로 이동 ▼']"
ISFJ(수호자) - Friendships(우정),"['ISFJ(수호자) - Friendships(우정)', '우정', '수호자가 얼마나 따뜻하고, 지원적이며, 관대한지를 생각해 보면, 다른 사람들이 그들에게 끌리는 것은 놀라운 것이 아닙니다. 이 유형의 사람들은  우정을 소중히 하는 가치관을 지니고 있지만, 다른 사람과 유대감을 만드는 것이 쉽지는 않습니다.', '수호자는 개인적이고 조금 방어적인 성향이 있습니다. 그리고 이러한 점은 새로운 사람에게 마음을 여는 데 시간이 걸리도록 만듭니다. 이것은 수호자의 우정이 우연하고 갑작스러운 만남보다는 학교나 직장과 같이 편안하고 지속적인 접촉이 이루어지는 상황에서 형성되는 이유를 설명해 줍니다. 수호자는 서로가 더욱 많은 것을 공유하면서 유대감을 깊게 만들 수 있는 기회를 감사하게 생각합니다.', '좋은 관계', '마음속 깊은 곳에서 수호자는 사랑받고 이해받기를 간절히 바라고 있습니다. 이것은 타고난 욕구입니다. 이러한 점 때문에 수호자는 사려 깊고 믿을 수 있는 친구로 잘 알려져 있습니다. 수호자는 다른 사람들이 그들을 어떻게 생각할지를 신경 씁니다. 그래서 우정을 포함한 모든 관계에서 최선의 모습을 보여주기 위해 노력합니다.', '수호자는 좋은 친구가 되기 위해 노력이 필요하다는 것을 알고 있습니다. 그리고 그들은 충분한 의지를 가지고 있습니다.', '이러한 특성은 수호자를 특별한 친구로 만들어줍니다. 하지만 지나칠 경우에는 사람들을 기쁜 게 만들어줘야 한다는 함정에 빠지게 될지도 모릅니다. 몇몇 유형의 사람들은 사람들이 좋아하지 않을만한 의견을 표현하거나 난처하게 만드는 질문을 하는 것에 어려움을 느끼지 않지만, 수호자는 그렇지 않습니다. 이들은 친구에게 빌려준 돈을 갚으라고 하거나 모든 사람이 저녁 먹으러 가자고 하는 공간에 반대하는 것과 같이 흐름에 거스르는 것을 꺼려 합니다.', '대부분의 경우 이러한 행동은 거절에 대한 두려움 때문에 발생합니다. 대부분의 수호자들은 긴밀한 관계를 유지할 수 있는 편한 친구들과 관계를 맺고 있지만, 친구로부터의 반대되는 의견을 듣는 것을 싫어합니다. 여기서 문제는 시간이 지남에 따라 사람들을 기쁘게 만들어주려는 행위가 그들 스스로 판단하고 결정하는 능력을 잃게 만들 수 있다는 것입니다.', '균형 찾기', '일부 유형은 수호자의 열망을 충족시켜주면서 오랜 시간을 함께 할 수 있는 친구에 부합합니다. 언제든지 조언과 도움, 안정을 제공해 줄 수 있는 수호자는 그들이 필요한 시기에 의지한다는 사실에 자부심을 느낍니다. 사실 친구들에게 이런 식으로 도움을 주는 것은 이러한 유형의 사람들에게 목적의식을 제공합니다.', '수호자는 친구들에게 깊은 감사를 표현하는 것을 어려워하지 않지만, 그들에게 보답으로 감사를 요구하는 것은 어려울 수 있습니다.', '보답으로 수호자들이 바라는 것은 충실함과 존경입니다. 그리고 실제로 사람들은 이들을 인정하고 있습니다. 수호자는 친구로부터 지지 받는다는 사실을 확인받고 싶어 하지만, 이를 요구하기에는 조심스럽습니다. 이들은 필요한 상황에 도움을 요청하는 것을 편하게 생각하지 않기 때문입니다. 하지만 다행스럽게도 많은 수호자들은 시간이 지나면서 그들의 관대하고 이타적인 성향을 이용하는 사람은 진짜 친구가 아니라는 사실을 배울 수 있습니다.', '유대감', '수호자는 어떠한 것들을 ""~해야 한다""라는 관념에 빠질 수 있습니다. 우정의 세계에서 그들은 의식적이든 아니든 완전히 이타적이어야 한다고 생각할지도 모릅니다. 하지만 이러한 생각과 기대를 낮추고 자신과 친구들의 욕구에서 균형을 맞춘다면 이러한 유형의 사람들은 친구 관계에 엄청난 선물을 가져다 줄 수 있습니다. 이 선물은 삶을 더욱 가치있게 만들어주는 의미 있고 지속될 수 있는 유대감을 즐길 수 있도록 도와줍니다.', 'ISFJ(수호자) - Parenthood(육아/부모) 포스팅으로 이동 ▼']"
ISFJ(수호자) - Romantic Relationships(로맨틱한 관계/연애),"['ISFJ(수호자) - Romantic Relationships(로맨틱한 관계/연애)', '로맨틱한 관계(연애)', '연애 관계는 처음엔 분명하지 않을 수 있는 성향을 이끌어냅니다. 온화하고 겸손한 수호자들은 그들이 사랑하는 사람에게 열정적인 헌신과 충성심을 보여줍니다. 수호자는 스스로 자신의 파트너를 보호하고 보살피는 것에 강렬한 열망과 감정에 놀라기도 합니다. ', '수호자의 감정은 매우 깊은 곳에 있습니다. 그래서 이 유형의 사람들은 파트너가 그들에게 어떠한 의미를 가지고 있는지 표현하는 것을 어려워할 수 있습니다. 하지만 수호자는 매일 수많은 방식으로 그들의 애정을 보여줍니다. 사랑하는 사람의 삶을 더욱 좋고 즐겁게 만들어주기 위해 노력하는 수호자들은 저녁을 준비하거나 주말여행을 계획하는 것과 같은 지루한 일들도 진심 어린 사랑과 관심으로 전환시킵니다.', '사랑의 수호자 ', '일반적으로 적극적인 모습을 보여주는 유형이지만, 많은 수호자들은 데이트를 할 때 주도권을 쥐는 것을 어려워합니다. 데이트를 신청하는 것은 수호자들에게 편하지 않습니다. 왜냐하면 그들은 정해진 틀에서 벗어나거나 거절당하는 것에 대한 두려움을 가지고 있기 때문입니다. 상황이 잘 풀리지 않으면 이들은 관계를 시작하고 싶어 하면서도 상대방이 먼저 움직여주기를 기다리는 상황에 빠지게 될지도 모릅니다.', '수호자는 사랑하는 관계를 잘 만들어보고 싶지만, 데이트를 신청하는 것을 주저합니다.', '연애를 하고 있을 때 수호자는 헌신적입니다. 이 유형의 사람들은 파트너로서 그들의 시간과 에너지, 그리고 관심을 다른 사람과 함께 공유하는 것에 매우 큰 만족감을 느낍니다. 그리고 믿을 수 없을 정도로 관대하고 지지하는 경향을 보입니다. 그들은 관계를 가볍게 보지 않으며, 문제가 불가피한 상황 속에서도 관계를 쉽게 포기하지 않습니다. 수호자는 건강하고 장기적인 관계에 필요한 노력을 현실적으로 받아들이며, 소중한 사람과 영속적인 유대감을 만들기 위해 노력하는 것에 적극적입니다.', '마음의 건강', '수호자의 삶에 대한 현실적인 접근 방식은 그들 마음속의 믿을 수 없을 정도로 강렬한 감정들을 보호합니다. 그래서 이별로 인한 고통이나 고통스러운 의견 갈등으로부터 회복하는 것이 상대적으로 오래 걸리는 유형입니다. 수호자는 관계에서 정말 많은 것을 베풀기 때문에, 반대로 상대방으로부터 충분한 사랑과 칭찬, 감사를 받지 못한다는 생각이 들 경우 깊은 상처를 받을 수 있습니다.', '유감스럽게도 수호자는 관계가 잘 흘러가지 않는 상황에서도 헤어지는 것을 어렵게 느낍니다. 이러한 모습은 잘못된 충성심, 변화에 대한 공포, 그리고 문제를 해결할 수 있는 방법을 찾을 수 있다는 희망 때문에 매달리는 것일지도 모릅니다.', '하지만 수호자와의 관계에서 그들을 만만하게 보는 것은 실수입니다. 이 유형의 사람들이 비록 갈등을 피하려고 하지만, 그들은 모든 주제에 있어 분명하고 단호한 의견과 선호를 가지고 있습니다. 그리고 파트너가 그들의 바람을 존중해 주지 않는다고 느끼는 경우 억눌려있던 실망과 좌절의 감정들은 비관과 분노, 완고함으로 분출될 수 있습니다.', '수호자는 상대방에게 헌신합니다. 하지만 스스로의 꿈과 희망을 지키지 못한다면, 그들은 성취감을 느끼지 못할지도 모릅니다.', '수호자의 마음속에서 가장 원하는 것은 파트너의 행복입니다. 이러한 성향이 이들 자신의 욕구와 열망에 대한 관심과 균형을 이룬다면, 수호자는 그들이 꿈꾸었던 지속적이고 열정적인 관계를 즐기게 될 수 있습니다.', 'ISFJ(수호자) - Friendships(우정) 포스팅으로 이동 ▼']"
ISFJ(수호자) - Strengths & Weaknesses(강점과 약점/장점과 단점),"['ISFJ(수호자) - Strengths & Weaknesses(강점과 약점/장점과 단점)', '강점과 약점(장점과 단점)', '수호자(ISFJ)의 강점(장점)', '지지하는', ' : 수호자는 진심으로 다른 사람들을 돕는 것을 즐깁니다. 그리고 그들의 지식과 전문성을 필요로 하는 사람에게 기꺼이 공유합니다. 이 유형의 사람들은 가능하면 경쟁하는 것보다는 팀워크를 선택하며 상생하기 위해 노력합니다.', '믿을 수 있는', ' : 수호자는 목표에 도달하는 과정에 지속해서 관심을 가지고 있으며 신중합니다. 이들은 끈기를 가지고 안정적으로 일을 마무리하며 요구된 수준 이상의 최고의 결과물을 만들어냅니다.', '관찰하는', ' : 수호자 유형은 주변의 다른 것들, 특히 사람을 알아채는 것에 재능을 가지고 있습니다. 이들은 누군가의 말과 행동의 세부적인 부분의 주의를 기울이며 특별한 통찰을 제공합니다.', '열정적인', ' : 목표가 이들의 성향에 부합한다면, 수호자는 사람들의 삶에 도움이 될 수 있는 것을 위해 최선을 다합니다. 그것이 국제 사회의 빈곤과 맞서 싸우는 것이든, 단순히 고객과의 하루를 만드는 것이든 신경쓰지 않습니다.', '근면한', ' : 수호자는 단순히 일을 잘 수행해낼 뿐만 아니라 자부심을 가지고 있습니다. 이 유형의 사람들은 그들이 헌신한 프로젝트나 조직에 애착을 가지고 있는 경우가 많으며, 도움을 주기 위해 자신에게 주어진 역할 이상을 수행해냅니다.', '실천 능력', ' : 이 유형은 이타적인 성향과 가지며 행동으로 실천합니다. 수호자는 단순히 다른 사람을 돕는 것을 원하는게 아니라 실제로 행동으로 보여줍니다. 그들의 가족, 친구, 도움을 필요로 하는 사람에게 도움을 주는 일에 행복을 느낍니다.', '수호자(ISFJ)의 약점(단점)', '지나친 겸손 ', ': 수호자는 다른 사람의 감정에 매우 사려깊습니다. 그래서 수호자는 자신의 생각을 드러내거나, 헌신에 대한 정당한 대가를 거절할 수 있습니다. 그리고 자신이 업무 결과에 영향을 별로 미치지 못했다고 생각하면, 자신의 노력을 폄하하는 경향이 있습니다.', '개인적인 문제로 받아들이기', ' : 숨기기 위해 노력하지만, 이 유형의 사람들은 다른 사람의 의견에 매우 민감합니다. 그리고 누군가가 자신에게 동의하거나 감사해하지 않는 경우 균형을 잃을 수 있습니다. 비평이나 반대를 마주할때 수호자는 개인적인 공격을 받는다고 느낍니다.', '감정 억압하기', ' : 개인적이고 내성적인 수호자는 그들의 감정 중에서도 특히 부정적인 감정을 내면화하는 경향이 있습니다. 이러한 점은 그들의 관계에서 오해를 만들어냅니다. 억압된 감정과 울분은 갑자기 터질 수 있습니다.', '과도한 헌신', ' : 수호자의 충실함은 좋은 상황을 만들어내지만, 기준을 완화하거나 도움을 요청하는 것을 꺼리도록 만듭니다. 그래서 수호자 유형은 혼자서 모든 것을 해내려고 노력하면서 고통받을 수 있습니다.', '변화에 대한 저항', ' : 수호자는 모든 성격 유형 중에서 가장 변화에 어려움을 겪는 유형입니다. 이들은 역사와 이전의 과정을 중요하게 생각하기 때문에 전통과 관습을 깨는 것을 어려워합니다. 심지어 변화가 필요한 상황에서도 실제로 임계점에 도달할 때까지 기다립니다.', '매우 이타적인', ' : 수호자의 베풀고 관대한 성향은 이를 이용하려는 사람들에게 취약할 수 있습니다. 이 유형의 사람들은 자신의 의무와 책임에 충실하지 않은 사람과 맞서는 것을 어려워합니다.', 'ISFJ(수호자) - Romantic Relationships(로맨틱한 관계/연애) 포스팅으로 이동 ▼']"
ISFJ(수호자) - Introduction(소개),"['ISFJ(수호자) - Introduction(소개)', '성격유형 : ""수호자""', '사랑은 남과 나눌 때 커진다. 더 많은 사랑을 받는 유일한 방법은 다른 사람에게 사랑을 베푸는 것이다.', '브라이언 트레이시', '수호자(ISFJ)는 겸손한 자세로 세상을 지탱하는 역할을 합니다. 이들은 근면하고 헌신적인 성격으로 주변 사람들에 대한 깊은 책임감을 느낍니다. 이들은 마감 기한을 철저히 지키고 동료와 친구의 생일과 기념일을 챙기며, 기존 질서를 유지하고 주변 사람을 배려하는 동시에 기꺼이 도움의 손길을 건넵니다. 또한 감사를 요구하기보다는 뒤에서 묵묵히 헌신하는 성격이라고 할 수 있습니다.', '수호자는 유능하고 긍정적인 성격으로 다양한 방면에서 역량을 발휘합니다. 또한 세심하고 배려심이 넘치며 분석 능력과 세부 사항 파악 능력도 뛰어납니다. 그리고 차분한 성격인 동시에 대인 관계 능력도 뛰어나며, 이 때문에 여러 사람과 깊은 관계를 맺을 가능성도 큽니다. 이들의 다양한 장점은 시너지 효과를 내며 일상생활에서도 빛을 발하곤 합니다.', '수호자는 진정한 이타주의자로 다른 사람의 친절에 더 큰 친절로 보답하며 열정적이고 겸손한 태도로 업무와 사람을 대합니다.', '충실한 성격', '수호자는 매우 충실한 성격으로 친구나 연인 관계를 위해 최선을 다합니다. 이들은 연인과 친밀한 관계를 유지하기 위해 많은 에너지를 투자하며, 친구나 가족이 어려움을 겪고 있다면 하던 일을 내려놓고 도움의 손길을 건넵니다.', '수호자는 자신을 필요로 하는 사람을 도울 때 에너지를 얻고 보람을 느낍니다.', '수호자는 가까운 사람뿐만 아니라 집단과 회사에도 충실한 태도를 유지하며 가족의 전통도 소중히 여깁니다. 그러나 다른 사람을 도우려는 성향으로 인해 문제가 발생하기도 합니다. 수호자의 배려심과 근면함을 이용하려는 사람을 때문에 스트레스를 받고 번아웃을 경험할 수 있기 때문입니다. 또한 변화를 수용하기 힘들어하기에 자신의 방식을 바꾸거나 인간관계를 끊을 필요가 있을 때는 스트레스를 받거나 죄책감을 느끼기도 합니다.', '높은 기대치', ""완벽주의적 성향을 지닌 수호자에게는 '이 정도면 됐다'라는 말은 통하지 않습니다. 이들은 자신의 책임을 진지하게 생각하며 다른 사람의 기대치를 뛰어넘을 만큼 일에 최선을 다합니다."", '수호자는 겸손하고 자만하지 않는 성격으로 다른 사람의 인정을 요구하는 경우는 거의 없습니다.', '그렇다고 수호자가 다른 사람들이 자신의 노력을 알아차리지 못하거나 자신을 인정하지 않아도 신경쓰지 않는다는 의미는 아닙니다. 겸손한 태도를 유지한다고 해서 칭찬을 싫어하거나 자신의 노력을 당연히 여기는 것을 받아들인다는 의미는 아니기 때문입니다. 따라서 자신의 노력에 대한 정당한 인정을 요구하는 방법을 익히지 않는다면 열정과 활력을 잃거나 자신을 인정하지 않는 사람들 때문에 분노를 느끼게 될 수도 있습니다.', '다른 사람과의 소통 추구', '수호자는 내향적(I) 성향을 지닌 동시에 다른 사람과의 소통을 추구하는 성격입니다. 수호자는 다른 사람에 대해 세세한 사항도 잘 기억하며, 이러한 능력은 어려움 없이 친구를 만들고 인간관계를 유지하는 데 큰 도움이 됩니다. 사실 수호자만큼 친구와 연인이 원하는 선물이 무엇인지 잘 파악하는 성격도 없을 것입니다.', '수호자는 세심하고 사려 깊은 성격으로, 주변 사람이 안전하고 행복한 삶을 살 수 있도록 돕는 일에서 만족감을 느낍니다. 남을 먼저 챙기려는 성향 때문에 자신을 돌보지 못할 때가 있기는 하지만, 다른 사람을 생각하는 만큼 자신도 챙긴다면 더욱 넘치는 에너지와 활력으로 선을 행할 수 있을 것입니다.', '수호자형에 속하는 유명인', 'Beyonce : 미국 가수', 'Queen Elizabeth ll : 영국 여왕', 'Aretha Franklin : 미국 가수', 'Vin Diesel : 미국 배우', 'Halle Berry : 미국 배우', 'Kate Middleton : 웨일스 공작 부인', 'Anne Hathaway : 미국 배우', 'Lance Reddick : 미국 배우', 'Selena Gomez : 미국 배우, 가수', '극중 인물', ""Catelyn Stark : 드라마 '왕자의 게임' 캐틀린 스타크"", ""Samwise Gamgee : 소설 '반지의 제왕' 샘"", ""Dr Watson : 소설 '셜록홈즈' 왓슨"", ""Captain America : 영화 '캡틴아메리카' 캡틴"", ""Triss merigold : 드라마 '위처' 트리스 메리골드"", ""Will Turner : 영화 '캐리비안의 해적' 윌 터너"", ""Pam Beesly : 드라마 '더오피스' 팸"", ""Vito Corleone : 영화 '갓파더' 비토 코를레오네"", ""Bree Van de Kamp : 드라마 '위기의 주부들' 브리 반 드 캠프"", 'ISFJ(수호자) - Strengths & Weaknesses(강점과 약점/장점과 단점) 포스팅으로 이동 ▼']"
