title,contents
ISTP(장인) - Conclusion(결론),"['ISTP(장인) - Conclusion(결론)', '결론', '장인만큼 대담하고 실용적인 성격 유형은 별로 없습니다. 기술적으로 숙달되어있고 유연한 대처 능력을 가지고 있는 장인은 불가능한 문제에 대한 해결책을 찾는 것에 능숙합니다. 새로운 것을 배우고 탐구하려는 이들의 성향은 개인적인 성장을 포함한 다양한 분야에서 매우 귀중하게 활용됩니다.', 'ISTP(장인) - Introduction(소개) 포스팅으로 이동 ▼']"
ISTP(장인) - Workplace Habits(직장 습관),"['ISTP(장인) - Workplace Habits(직장 습관)', '직장 습관', '직장에서 장인들에게 가장 중요한 요구사항은 예측 불가능성과 흥미입니다. 이러한 성향은 개인적인 가족이나 친구들 사이의 관계에서도 어려운 요소로 작용하지만, 직장에서 만난 동료들과의 관계에서는 더욱 문제를 발생시킬 가능성이 있습니다.', '물론 이들이 개인적인 자유를 보장받을 수 있다면, 가장 생산적인 사람이 될 수 있습니다. 이들에게 정해진 틀을 강요하는 것은 의미가 없습니다. 장인들이 가지고 있는 재능과 특별한 관점이 인정될 때 좋은 결과로 이어질 수 있습니다.', '장인 직원', '직원으로서 장인이 가장 갈망하는 것은 개인적인 공간입니다. 여유롭고 털털한 성격을 가진 장인들은 고용주나 관리자가 어떠한 일에 몰두하도록 강요하지 않는 한 충성심을 가지고 있습니다. 엄격한 규칙, 지침, 협의는 이들의 흥미를 끌지 못하며 답답하게 느끼도록 만듭니다. 만약 이들의 행동이나 습관이 비판을 받거나 변화하도록 강요받는다면, 매우 고집스러운 모습을 보여줄 수도 있습니다.', '장인이 선호하는 업무는 주로 어떤 일을 수정하거나 처리해야 하는 일들입니다. 이들은 이런 업무를 효율적으로 처리하는 재능을 가지고 있으며, 실제로 움직일 수 있는 일을 선호합니다. 만약 계획을 세워야 하는 업무라면 분석가 유형의 직원을 뽑는 것이 나을 것입니다.', '장인 동료', '장인들은 종종 자신이 생각하는 것보다 동료들에게 인기가 많습니다. 조용하고 내성적이며 자신의 공간이 필요하지만, 동시에 흥미로운 것을 탐색하며 동료들에게 관심을 가지고 있기 때문입니다. 하지만 선천적으로 감정에 약한 이들은 동료들의 감정을 상하게 하고 오해를 만드는 의사소통을 하기도 합니다.', '장인들은 자신의 합리주의를 공정함과 결합합니다. 이들은 언제나 사람들을 공정하게 대우하며 유머감각이 뛰어나, 동료들 사이에서 무거운 분위기를 가볍게 만들어 줄 수 있는 농담으로 분위기를 전환하는 것에 능숙합니다.', '장인 관리자', '장인 관리자들은 최소한의 대화를 하며, 직원들과 경계를 특별하게 두지 않고 편하게 대합니다. 이들은 잡담하고 감정을 공유하는 것에는 큰 관심이 없어 감정적인 유형들은 장인들을 매우 멀게 느끼고 차가운 사람으로 느낄 수 있습니다. 즉 과장된 칭찬이나 뒷말은 장인의 성향과 맞지 않습니다. 결과가 좋든지 나쁘든지 장인 관리자는 직원들에게 많은 피드백을 하지 않습니다. 하지만 문제가 발생할 경우에는 실용적이면서도 공정한 해결책을 고민하는 훌륭한 경청자입니다.', 'ISTP(장인) - Conclusion(결론) 포스팅으로 이동 ▼']"
ISTP(장인) - Career Paths(직업/진로),"['ISTP(장인) - Career Paths(직업/진로)', '직업(진로)', ' 장인은 직업을 통해 파악하기 어려운 유형입니다. 이들은 다양성과 예측 불가능성을 바탕으로 ""다음에는 무엇을 할까?""라는 태도를 바탕으로 업무를 수행합니다. 그래서 가장 신비한 유형이기도 하지만, 반대로 가장 다재다능한 유형이기도 합니다.', '장인은 타고난 문제 해결사입니다. 그래서 해결책을 찾는 것에 초점을 맞추고 있습니다. 이들은 사물이 어떻게 작동하는지, 도구가 어떻게 사용될 수 있는지, 즉각적이고 만족스러운 결과를 만들기 위해 어떻게 조합해야 하는지에 대해 고민하며 문제를 해결합니다. 이러한 호기심과 활력을 바탕으로 장인들은 훌륭한 기계공, 엔지니어, 그래픽 디자이너, 법학자, 의학자가 될 수 있습니다.', '장인들은 추상적인 이론 또는 실질적으로 활용하기 어려운 학문들에 관심이 없습니다.', '""실용성""은 장인들이 좋아하는 단어입니다. 하지만 이들이 말하는 실용성은 일상적인 것을 의미하지 않습니다. 이들은 삶에 다양성이 중요하고 일에도 아드레날린이 필요하기 때문에 구조화된 환경은 지루하게 느껴질 수 있습니다. 소방관, 구급 대원, 형사, 조종사, 경찰관과 같이 위기 대응에 초점을 맞춘 직업들은 이들에 적성에 맞을 수 있습니다.', '장인들에게 중요한 것은 틀에 박혀있지 않다는 느낌입니다. 때로는 방황하고 자신의 일정과 책임, 환경을 통제할 수 있는 자유가 필요하며, 이 부분만 충족된다면 다른 부분에 대해서는 크게 고려하지 않습니다. 전통적인 직장 환경에서는 어려움을 느낄 수 있는 부분이지만, 반대로 장인으로서 가장 큰 매력 포인트이기도 합니다.', '예측 불가능한 것을 받아들이기', '장인들은 창의적이면서 건설적인 기술, 블로거, 시스템 분석가, 운동선수 또는 운전자와 같이 프리랜서 또는 자영업자의 직업이 어울릴 수도 있습니다. 이러한 직업들은 즉각적인 만족보다는 장기적인 계획이 중요한 부분입니다. ', '장인은 문제 해결을 위해 타고난 기술, 여유롭고 자신감 있는 성격, 결과 지향적인 성향을 가지고 있습니다. 이들은 위험을 보상이라고 생각하며, 성숙함을 바탕으로 위험을 기회로 바꿀 수 있다면 어떠한 환경 속에서도 좋은 결과를 만들어낼 수 있습니다.', 'ISTP(장인) - Workplace Habits(직장 습관) 포스팅으로 이동 ▼']"
ISTP(장인) - Parenthood(육아/부모),"['ISTP(장인) - Parenthood(육아/부모)', '육아(부모)', '육아에 있어서 장인은 아이들에게 원하는 것이 무엇이든 합리적인 범위 내에서 할 수 있는 자유와 기회를 줍니다. 장인 부모들에게 자녀들이 하루 종일 집에서 TV를 보고 있는 것만큼 당황스러운 것은 없습니다. 여유롭고 개방적이며 유연한 사고방식을 가진 장인 유형의 사람들은 자녀들이 스스로 자신의 자유를 새로운 것을 경험하고 실행하며 현명하게 활용할 수 있기를 바랍니다.', '세상에서 못할 것은 없다', '육아 초기에 장인들의 이러한 태도는 자녀들에게 매우 유익하게 작용합니다. 아이들에게 냄새, 시각과 같은 감각적인 체험은 매우 중요하며 장인 유형의 부모는 감각적인 영역에 뛰어나기 때문입니다. 이들은 아이들과 블록을 쌓고 함께 놀며 운동하는 것을 좋아합니다. 아이들이 더욱 성장하고 복잡한 능력을 개발함에 따라 장인 부모는 실제 도구를 활용하고 물건을 만드는 것을 보여주는 것에서 즐거움을 찾습니다.', '만약 성장하는 아이들이 장인들과 동일하게 자발성과 열정이라는 기본적인 자질을 공유하고 있다면, 스포츠, 등산, 공예 등 여러 활동을 함께 할 수 있습니다. 하지만 이들은 자녀들에게 어떠한 강요도 하지 않습니다. 이들은 자녀들에게 자신의 원칙과 관심사를 표현할 필요가 없다고 생각하며 아이들이 무언가 하는 것 자체를 좋게 생각합니다.', '자녀들이 어린 시절 인생을 바꿀 정도로 무모한 행동이나 잘못된 선택을 하지 않도록 만드는 것은 운이나 배우자의 손에 달려있습니다.', '장인 부모들이 다른 관계에서와 마찬가지로 어려워할 수 있는 분야는 자녀와의 감정적인 유대감입니다. 감정 조절은 아이들이 수십 년 동안 배우고 적응하면서 키우는 능력이기 때문에 감정적 능력이 부족한 장인 부모는 어떻게 해야 할지 갈피를 못 잡는 경우가 많습니다. 그래서 아이들에게 필요한 감정적이고 정서적인 지원을 해주기 위해서는 스스로 많은 노력이 필요합니다.', 'ISTP(장인) - Career Paths(직업/진로) 포스팅으로 이동 ▼']"
ISTP(장인) - Friendships(우정),"['ISTP(장인) - Friendships(우정)', '우정', '장인은 우정에 있어 친구를 사귀는 것을 쉽게 생각하지만 깊은 관계를 맺는 것을 어렵게 생각합니다. 이들은 다재다능하고 여러 취미를 가지고 있어 여러 사람을 사귀는 것에 문제가 없지만, 진정으로 이들을 이해하고 진정한 친구가 될 수 있는 사람은 많지 않기 때문입니다.', '자연스러운 관계', '그러한 이유는 장인들이 어떠한 사람이나 특정 활동에 얽매이는 것을 좋아하지 않기 때문입니다. 이들은 삶을 즐기면서 살아가려고 하며, 다른 사람에 영향을 받아 나의 행동이 변화하는 것을 원하지 않습니다. 친구들이 하는 것이 장인이 원하는 것이 아니라면 그냥 서로 하고 싶은 것을 하며 시간을 보내는 경우도 있습니다. 이러한 태도는 친구들을 당황하게 만들 수 있으며, 특정한 활동에 전념할 수 있도록 강요하는 것은 장인 유형의 사람들과 우정을 쌓을 수 있는 방법이 아닙니다.', '하지만 이런 상황에서도 크게 불편함을 느끼지 않는 관계라면 장인의 우정은 풍성하고 보람 있는 관계를 형성할 수 있습니다. 이들은 감각적인 부분을 활용하는 것에 재능이 있고, 경쟁을 즐기기 때문에 친구들과 낚시, 공예와 같은 육체적인 활동을 하면서 즐기는 것을 좋아합니다. 장인의 관심사는 상당히 다양하기 때문에 다양한 흥미로운 것들을 하는 것에 어려움이 없습니다.', '장인 유형은 사려 깊고 이성적인 사람들입니다. 또한 매우 창의적이기 때문에 새로운 아이디어에 대해 논의가 되면 바로 실행하기 위해 노력합니다. 어떠한 꿈과 목표를 이야기하는 것은 좋지만, 실제로 행동할 수 있는 생각이 장인에게는 더욱 가치가 있습니다.', '이러한 모습은 삶에 대해 상대적으로 적게 현실적으로 바라보는 직관적(N) 유형과 우정을 쌓는 것을 어렵게 만들기도 합니다. 직접적인 활동을 중요시하기 때문에 이들은 관찰자(S) 특성을 가진 다른 유형과 함께 할 때 더욱 편안함을 느낍니다. 그렇지만 취미를 공유한다면 성향의 차이는 큰 문제가 되지 않습니다. 함께 활동할 수 있기 때문입니다.', '본연의 모습에 대한 매력', '장인은 자신의 노력과 상관없이 인기가 많은 편입니다. 열려있는 마음, 다양한 취미, 여유 있는 태도는 다른 유형의 사람들에게 매력적으로 작용하기 때문입니다. 장인들은 많은 사람들과 함께하면서도 자신을 이해할 수 있는 소수의 친구들과 깊은 우정을 쌓게 될 것입니다.', 'ISTP(장인) - Parenthood(육아/부모) 포스팅으로 이동 ▼']"
ISTP(장인) - Romantic Relationships(로맨틱한 관계/연애),"['ISTP(장인) - Romantic Relationships(로맨틱한 관계/연애)', '로맨틱한 관계(연애)', '장인과의 연애에 대해서라면 아주 복잡하고 흥미롭습니다. 이들과 사귀는 것은 냉정함과 초연함, 열정, 자발성, 즐거움이 번갈아 나타나는 춤이기 때문입니다. 장인과의 관계에서 강요할 수 있는 것은 없지만, 이들의 영역을 충분히 인정해 준다면 안정된 파트너로서 편안함을 제공해 줄 수 있습니다.', '독립심', '데이트 초기에 장인 성격을 가진 사람들은 특히 재빠르게 행동합니다. 이들은 언제나 새로운 관계와 경험을 찾으면서 살기 때문에 잠재적인 연애 상대가 끌리지 않는다면 떠나는 것을 주저하지 않습니다. 장인들은 정신적으로나 육체적으로 자신만의 공간을 매우 중요하게 생각하며, 이들을 통제하거나 강제로 행동하게 만들려는 시도는 이들의 마음을 떠나게 만드는 요소로 작용합니다.', '하지만, 장인들은 파트너들의 행동을 바꾸기 위해 노력하기보다는 편안함을 느끼며 즐길 수 있도록 만들기 위해 노력합니다. 이들은 데이트에 대해 엄격하거나 전통적이지 않으며, 성행위를 좋아합니다. 감각적인 장인들은 육체적인 친밀감을 즐거움의 원천으로 생각하며 이를 최대한 활용하기 위해 노력합니다.', '관계가 발전함에 따라 장인의 파트너들은 친밀감이 그들이 애정을 표시하는 대표적인 방법이라는 것을 알게 됩니다. 장인들이 감정이 없는 것은 아니며 이들이 감정을 숨기는 것은 어떻게 다루고 표현해야 할지 확신이 없기 때문입니다. 장인들은 어떠한 내용을 말하지 않는 것을 힘들게 느끼지 않습니다.', '장인과의 연애에서 초반에 어떠한 조건을 합의하고 약속하는 것은 장인을 매우 혼란스럽게 만들 수 있습니다. 이들에게 탈출구가 없는 것만큼 무서운 것은 없으며, 매일 다르게 행동할 수 있는 자유를 좋아합니다.', '장인이 평생의 배우자가 되려면, 자신의 기준대로 생활할 수 있는 상황을 인정해 주어야 합니다.', '장인의 파트너들은 이러한 것들을 너무 개인적으로 받아들일 필요는 없습니다. 이들의 마음이 작동하는 방식이 이렇기 때문입니다. 장인 유형의 사람들은 자신의 감각을 자극하는 신체 활동의 세상에서 살고 있으며, 어떤 것을 어떻게 끝낼 것인지, 왜 마음이 달라졌는지에 대한 질문을 받는 것을 싫어하며, 언제든지 마음이 달라질 수 있는 자유를 인정받고 싶어 합니다.', '일관적이고 상황에 따라 유연하게 잘 대처하는 것은 장인 성격 유형의 대표적인 성격이라고 할 수 있습니다. 장인들과 잘 맞는 파트너는 이들이 다른 사람을 더욱 이해하고 성장할 수 있도록 도와줄 수 있는 관찰자(S) 특성을 포함한 한두 개의 다른 유형이 잘 어울립니다.', 'ISTP(장인) - Friendships(우정) 포스팅으로 이동 ▼']"
ISTP(장인) - Strengths & Weaknesses(강점과 약점/장점과 단점),"['ISTP(장인) - Strengths & Weaknesses(강점과 약점/장점과 단점)', '강점과 약점(장점과 단점)', '장인 강점(장점)', '낙관적이고 에너지 넘치는', '장인은 어떠한 프로젝트가 있을 때 아주 잘 몰입합니다. 쾌활하고 성격이 좋은 장인 유형의 사람들은 업무에서 스트레스를 잘 받지 않으면서 전체적인 분위기에 잘 맞추는 능력이 있습니다.', '창의적이고 실용적인', '장인은 실용적인 기술이 반영된 기계, 공계 등에 있어서 매우 상상력이 풍부합니다. 참신한 아이디어가 쉽게 나오고 그것을 실행에 옮기기 위해 행동하는 것을 좋아합니다.', '자발적이고 합리적인', '자발성과 논리를 결합한 장인은 새로운 상황에 맞게 유연하게 사고하여 문제를 해결하는 능력을 가지고 있습니다.', '우선순위가 명확한', '장인이 가지고 있는 유연한 사고는 예측하기 어렵지만, 그들이 가지고 있는 재능을 필요할 때에 적절하게 활용할 수 있는 능력을 가지고 있으며, 그들이 가진 에너지를 꼭 필요할 때 중요한 것에 사용합니다.', '위기에 강한', '창의성과 자발성을 가지고 있는 장인 유형은 위기 상황 속에서도 침착함을 유지합니다. 오히려 여유를 가지고 위험을 즐기는 모습을 보여줍니다.', '여유', '장인들은 여유를 가지고 편안하게 살아가는 사람들입니다. 미래에 대해 걱정하기보다는 현재의 흐름에 따라 자연스럽게 살아갑니다.', '장인 약점(단점)', '완고한', '장인들은 흐름을 잘 따르는 편이지만, 이를 완전히 무시하기도 합니다. 그리고 어떤 사과나 배려 없이 자신의 길을 걸어가는 경우도 있습니다. 누군가가 장인의 습관이나 생활방식, 생각을 바꾸려고 노력한다면 관계는 멀어지게 될 수 있습니다.', '둔감한', '장인들은 논리적입니다. 그래서 감정적으로 예민한 다른 사람하고 만날 때에 감정을 고려하지 못하는 경우가 있습니다.', '개인적이고 내성적인', '장인들은 알기 어려운 사람입니다. 이들은 가장 내성적이 유형 중 하나이며, 개인적인 문제를 숨기고 잡담보다 침묵을 더욱 좋아합니다.', '쉽게 지루해하는', '장인들은 참신함을 즐깁니다. 그래서 장기적으로 어떠한 일에 집중하는 것을 어려워합니다. 어떤 것이 어느 정도 이해가 되는 순간 장인들은 바로 다른 주제로 넘어가려고 하는 경향이 있습니다.', '약속을 싫어하는', '장인들에게 장기적인 약속이나 의무는 부담입니다. 이들은 무언가에 갇혀있는 느낌을 좋아하지 않아 연애와 같은 관계에서 장애물로 작용하기도 합니다.', '위험한 행동', '고집과 다른 사람에 대한 둔감함, 단기 집중력, 쉽게 질리는 성향은 별로 도움이 되지 않으면서도 위험을 초래하는 행동을 하게끔 만들기도 합니다. 때로는 일부러 위험한 상황을 초래함으로써 사람들과 갈등을 고조시키는 상황을 연출하기도 합니다.', 'ISTP(장인) - Romantic Relationships(로맨틱한 관계/연애) 포스팅으로 이동 ▼']"
ISTP(장인) - Introduction(소개),"['ISTP(장인) - Introduction(소개)', '성격유형 : ""장인""', '나는 다른 삶을 살고 싶었다. 매일 똑같은 곳에서 똑같은 사람을 만나고 똑같은 일을 하고 싶지는 않았다. 나에게는 흥미로운 도전이 필요했다.', '해리슨 포드', '장인(ISTP)은 이성과 호기심을 통해 세상을 바라보며 눈과 손으로 직접 탐구하는 일을 즐깁니다. 이들은 타고난 손기술을 지니고 있으며, 다양한 프로젝트에서 유용하고 재미있는 물건을 만들어 내고 주변 환경에서 배울 점을 찾습니다. 장인은 보통 기술자나 엔지니어로 일하는 경우가 많으며 물건을 직접 분해하고 조립해 개선하는 일을 즐깁니다.', '장인은 물건을 제작하고 문제를 해결하고 시행착오를 거치고 직접 경험함으로써 아이디어에 대해 탐구합니다. 또한 다른 사람이 자신의 프로젝트에 관심을 보이는 것에 즐거워하며 개방적인 태도를 보입니다. 다만 다른 사람이 자신의 원칙이나 자유를 침해하는 일은 원치 않으며, 상대방도 자신에게 개방적인 태도를 보일 것을 기대합니다.', '장인은 남을 돕고 경험을 공유하는 일을 좋아합니다. 이렇게 매력적인 장인이 전체 인구의 약 5%밖에 되지 않는 점은 아쉽다고 할 수 있습니다. 특히 여성 장인은 더욱 희귀하며 전통적인 성 역할을 기대하는 사회에서는 말괄량이 취급을 받는 어려움을 겪기도 합니다.', '색다름 추구', '기술과 기계에 집중하는 성향 때문에 단순한 성격처럼 보일 수 있지만, 사실 장인은 불가사의한 성격이라고 할 수 있습니다. 친절하지만 매우 내향적이고, 차분하지만 즉흥적이며, 호기심이 넘치지만 일반적인 교육 시스템에서는 집중력을 유지하지 못하는 수수께끼 같은 성격이기 때문입니다. 이로 인해 친구와 연인도 장인을 이해하지 못할 때가 있습니다. 또한 매우 충실하고 꾸준한 성격처럼 보일 때가 많지만, 갑자기 넘치는 에너지를 발산하고 새로운 관심사를 찾아 나서기도 합니다.', '장인은 명확한 비전을 추구하기보다는 중대한 결정을 내리기 전 새로운 가능성을 탐색해 보는 성격입니다.', '장인의 성향이 상황에 따라 달라지는 이유는 결정을 내릴 때 실용성과 현실성을 고려하며, 남에게 대접받고자 하는 대로 남을 대접하는 것이 공정하다고 생각하기 때문입니다. 이러한 생각 때문에 남에게 피해를 주지 않기 위해 조심하기보다는 다른 사람이 피해를 주면 자신도 앙갚음하겠다는 태도를 보이기도 합니다.', '장인의 문제점은 남들도 자신과 같이 관대한 성격을 지니고 있다고 생각해 너무 성급하게 행동할 가능성이 크다는 것입니다. 이 때문에 남에게 상처를 주는 농담을 하거나, 다른 사람의 프로젝트에 지나치게 관여하거나, 주변 사람의 주의를 산만하게 하거나, 더 흥미로운 계획이 있다는 이유로 계획을 갑자기 변경하는 행동을 보일 수도 있습니다.', '관습에 얽매이지 않는 성격', '장인은 자신과 다르게 지켜야 할 선과 규칙을 명확히 정하는 사람이 많다는 사실을 알게 될 것이며, 지나친 농담을 불쾌하게 생각하거나 주의가 산만한 환경을 싫어하는 살마도 있다는 사실을 알게 될 것입니다. 특히 감정적으로 격양된 상황이라면 선을 넘는 말과 행동으로 인해 극심한 갈등이 발생할 수도 있다는 점에 주의해야 합니다.', '장인은 다른 사람의 반응을 예상하는 일을 어려워합니다. 자신의 감정과 의도에 따라 말이나 행동이 적절한지를 판단하기 때문입니다. 인간관계에서 공감 능력보다는 행동을 중시하는 성향은 갈등으로 이어질 수 있으며, 자유로운 성향의 장인은 상대방이 정한 선을 지키는 일을 어려워할 때가 있습니다.', '그러나 장인의 예측불가능한 성향을 이해하고, 창의성과 유머 감각과 해결책을 만들어 내는 능력을 인정하는 환경을 찾는다면 즐겁게 일하고 다른 사람의 존경도 받을 수 있을 것입니다.', '장인에 속하는 유명인', 'Olivia Wilde : 미국 배우', 'Bear Grylls : 영국 방송인', 'Michael Jordan : 미국 농구선수', 'Clint Eastwood : 미국 배우', 'Milla Jovovich : 미국 배우', 'Daniel Craig : 영국 배우', 'Tom Cruise : 미국 배우', 'Michelle Rodriguez : 미국 배우', '극중인물', ""Arya Stark : 드라마 '왕좌의 게임' 아리아 스타크"", ""Michael Westen : 드라마 '번 노티스' 마이클 웨스텐"", ""Indiana Jones : 영화 '인디아나 존스' 인디아나 존스"", ""Hawkeye : 영화 '어벤저스' 호크아이"", ""Jack Bauer : 드라마 '24' 잭 바우어"", ""John McClane : 영화 '다이하드' 존 매클레인"", ""Angus MacGyver : 드라마 '맥가이버' 맥가이버"", ""Lisbeth Salander : 드라마 '여자를 증오한 남자들' 리스베트 살렌데르"", ""James Bond : 영화 '본 시리즈' 제임스 본드"", ""Jessica Jones : 드라마 '제시카 존스' 제시카 존스"", 'ISTP(장인) - Strengths & Weaknesses(강점과 약점/장점과 단점) 포스팅으로 이동 ▼']"
