,제목,장르모음,시놉시스,특징,출연진,개봉일,등급,상영시간,기본장르,nfid,imdbid
0,부패의 메커니즘,"정치 시리즈,드라마,브라질 작품,범죄 시리즈,스릴러 시리즈","한 나라를 뒤흔든 비리와 부정. 아무도 알지 못했다. 한 형사의 집념이 깃털을 건드리기까지. 브라질의 실제 사건을 바탕으로 부패의 메커니즘, 그 몸통을 겨냥한 드라마.",,"세우통 멜루,카롤리니 아브라스,엔리케 디아스,안토니우 사보이아,리 테일로르,오투 주니오르,레오나르두 메데이루스,오즈바우두 미우,조나탄 하겐센,줄리우 로페스,수자나 히베이루,에밀리우 오르시올루 네투,",2018 ,"
청불 ", 시즌 2개 , 드라마 장르,80120485,tt6873658
0,스프링스틴 온 브로드웨이,"음악,콘서트 실황","세상을 노래한 뮤지션, 브루스 스프링스틴. 그가 홀로 무대에 오른다. 그리고 들려오는 기타 선율과 삶의 이야기. 브로드웨이를 사로잡은 솔로 어쿠스틱 공연이 시작된다.","진심 어린,감정을 파고드는","브루스 스프링스틴,",2018 ,"
12+ ", 2시간 33분 , 음악(논픽션),80232329,tt8716334
0,델리 크라임,"드라마,인도 작품,범죄 시리즈,스릴러 시리즈,힌디어 TV 쇼,사회 문제를 다룬 드라마",델리에서 발생한 주요 범죄를 수사하는 경찰의 이야기를 담은 시리즈. 각 시즌은 실제 사건과 가상의 이야기를 바탕으로 한다.,어두운,"셰팔리 샤,라제시 타일랑,라시카 두갈,아딜 후사인,아누라그 아로라,고팔 더트 티와리,야샤스위니 다야마,덴질 스미스,비노드 샤라와트,므리둘 샤르마,가우라브 라나,",2019 ,"
청불 ", 시즌 2개 , 드라마 장르,81076756,tt9398466
0,리락쿠마와 가오루 씨,"가족이 함께 보는 시리즈,일본 작품,애니 시리즈,드라마 장르 애니메이션","조금은 지루할지 모를 가오루의 인생. 하지만 특별한 룸메이트가 있어, 가끔은 반짝이는 그녀의 일상. 한없이 게으른 곰 인형 리락쿠마와 함께, 포근한 나날이 펼쳐진다.","힐링,잔잔한","타베 미카코,마츠모토 소키,야마다 타카유키,가나자와 마이,스기모토 시게루,다쿠보 잇세이,니시야마 가나코,고바야시 유즈하,마쓰노 마사코,오다이라 가나,혼마 히토시,기나시 아야노,",2019 ,"
12+ ", 시즌 1개 , 애니,80196883,tt9348716
0,신세기 에반게리온,"SF & 판타지 애니,액션 애니,일본 작품,애니 시리즈","서드 임팩트를 막아라! 대재앙 세컨드 임팩트가 발생한 지 15년 후, 사도의 습격이 시작된다. 사도를 상대할 전투 병기의 파일럿이 된 소년. 병기에 얽힌 은폐된 진실에 다가가게 되는데. 인류의 존망을 짊어진 그, 어떤 선택을 내릴지.","긴장감 넘치는,흥미진진","오가타 메구미,미쓰이시 고토노,야마구치 유리코,하야시바라 메구미,미야무라 유코,타치키 후미히코,이시다 아키라,키요카와 모토무,유키 히로,나가사와 미키,코야스 타케히토,세키 토모카즈,이와나가 데쓰야,이와오 준코,무기히토,",1995 ,"
15+ ", 시즌 1개 , 애니,81033445,tt0112159
0,몰랑,"키즈 시리즈,만화 시리즈","풍부한 상상력과 따뜻한 마음을 지닌 토끼, 그리고 유쾌 발랄한 병아리. 두 친구는 매일매일이 너무나 즐겁대요. 아기자기한 두 친구의 세상 속으로 우리도 들어가 봐요!",,"브뤼노 게라사그,",2015 ,"
전체관람가 ", 시즌 3개 , 키즈,81099996,tt6046238
0,루폴의 드래그 레이스,"경쟁 리얼리티 시리즈,리얼리티 시리즈,미국 TV 프로그램",독보적인 무대 장악력을 뽐내는 퀸들이 무한 경쟁에 나섰다. 이들의 목표는 10만 달러 상금과 '미국의 차세대 드래그 슈퍼스타'라는 명예. 드래그 퀸의 대모 격인 루폴이 이들의 화려한 무대를 이끈다. 에미상 수상에 빛나는 리얼리티 쇼.,,"루폴 찰스,미셸 비자주,로스 매슈스,카슨 크레슬리,산티노 라이스,멀 긴스버그,빌리 B,",2009 ,"
청불 ", 시즌 2개 , 리얼리티 TV,70187741,tt1353056
0,커뮤니티,"시트콤,코미디 시리즈,미국 TV 프로그램",학력 위조가 발각돼 변호사 자격을 박탈당한 제프. 다시 변호사가 되려고 커뮤니티 칼리지에 들어갔다가 불순(?)한 의도로 스터디 그룹을 결성한다. 좌충우돌 늦깎이 대학 생활을 그린 병맛 코미디. (시즌 2의 1개 에피소드 이용 불가),위트 있는,"조엘 맥헤일,길리언 제이컵스,대니 푸디,이벳 니콜 브라운,앨리슨 브리,도널드 글로버,켄 정,체비 체이스,짐 래시,",2009 ,"
15+ ", 시즌 6개 , 코미디,70155589,tt1439629
0,끝나지 않은 랩소디: 퀸 + 애덤 램버트,"음악,영국 작품,다큐멘터리 영화",전설적인 록 밴드 퀸의 특별한 프로젝트. 그 찬란한 여정에 애덤 램버트가 보컬로 함께 했다. 애덤의 목소리와 에너지로 새로운 색깔이 스며든 랩소디. 희귀 영상과 솔직담백한 인터뷰로 그 과정을 따라가 본다.,기분 좋아지는,"애덤 램버트,브라이언 메이,로저 테일러,",2019 ,"
12+ ", 1시간 25분 , 다큐멘터리,81274609,tt9856280
0,여총리 비르기트,"정치 시리즈,드라마,덴마크 작품,스칸디나비아 TV 쇼,사회 문제를 다룬 드라마","덴마크 최초의 여성 총리가 된 비르기트 뉘보르. 자신의 뜻을 관철하기 위해 끊임없는 정쟁을 헤쳐나간다. 현실과 이상이 다를지라도, 야망과 가족 사이에서 고뇌할지라도 그녀는 멈출 수 없다. 국가의 명운이 걸린 책무이기에.",,"시세 바베트 크누센,비르기테 요르트 쇠렌센,필루 아스베크,쇠렌 말링,프레야 리만,에밀 포울센,토마스 레빈,베네딕테 한센,미카엘 비르키에르,아네르스 율,리스베트 불프,카스페르 랑에,라르스 크누트손,쇠렌 스파닝,이벤 도르네르,다르 살림,옌스 알비누스,크리스티안 타프드루프,앨리스터 매켄지,율리 아그네테 방,크리스티안 할켄,리카드 로런스,마리에 아스케하베,리케 륄로프,밀레 디네센,아네 소피 에스페르센,",2010 ,"
15+ ", 시즌 3개 , 드라마 장르,70302482,tt1526318
0,나의 문어 선생님,"어린이 & 가족 영화,남아공 작품,다큐멘터리 영화,자연 & 생태 다큐멘터리,과학 & 자연 다큐멘터리,아프리카 영화","남아프리카의 바다, 해초 숲을 헤엄치던 영화감독이 특별한 문어를 만난다. 경계에서 교감, 우정으로 발전하는 두 생명의 관계. 세계의 숨은 신비가 모습을 드러낸다.","힐링,진실을 찾아",,2020 ,"
전체관람가 ", 1시간 25분 , 다큐멘터리,81045007,tt12888462
0,마약왕 파블로 에스코바,"드라마,콜롬비아 작품,도서 원작 시리즈,범죄 시리즈,TV 프로그램·실화 바탕",좀도둑으로 시작해 세계 최대의 마약 제국을 세운 마약왕 파블로 에스코바. 그의 생애를 생생한 현실감으로 스크린에 옮긴 시리즈.,,"안드레스 파라,안지 세페다,세실리아 나비아,비키 에르난데스,크리스티안 타판,로돌포 실바,토미 바스케스,토토 베가,니콜라스 몬테로,마르셀라 가예고,",2012 ,"
청불 ", 시즌 1개 , 드라마 장르,80035684,tt2187850
0,카피타니,"드라마,룩셈부르크 작품,범죄 시리즈",비밀로 가득한 룩셈부르크 마을. 무뚝뚝한 경위 카피타니는 15세 소녀의 수상한 죽음을 조사한다. 하지만 외부인을 배척하며 거짓말을 일삼는 이곳을 파헤치기란 쉽지 않다.,불길한,"뤼크 슐리츠,소피 무젤,클로드 데 데모,조 데넨발트,콘스탄틴 로멜팡겡,쥘 베르너,질 드브레스,줄리 키퍼,에디타 말로프치치,필리프 텔렌,에드손 아니발,아드리앵 파프리츠,리디야 인조바,",2019 ,"
청불 ", 시즌 2개 , 드라마 장르,81277858,tt10483610
0,코타로는 1인 가구,"일본 작품,애니 시리즈,드라마 장르 애니메이션,일본 만화 원작 시리즈",허름한 원룸 건물에 혼자 이사 온 꼬마 아이. 자기 힘으로 모든 걸 해내는 어린 소년과 옆집의 빈털터리 만화가 청년이 친구가 된다.,"잔잔한,달콤 쌉싸름,진심 어린","쿠기미야 리에,마스다 토시키,하야미 사오리,스와베 준이치,하나모리 유미리,사이토 소마,이시카와 카이토,모리시마 유카,시노다 미나미,",2022 ,"
12+ ", 시즌 1개 , 애니,81275353,tt15078598
0,샤펠 사단 - 어스퀘이크: 전설의 코미디,스탠드업 코미디,"건강이 재산이라고? 병원에 간 어스퀘이크! 전립선 검사 경험담, 집에 좀 가고 싶을 정도로 너무 길었던 유명 가수의 장례식 일화까지 푼다. 객석은 완전히 뒤집어진다는데!",,"어스퀘이크,",2022 ,"
청불 ", 36분 , 코미디,81497886,tt10810424
0,취조,"인도 작품,스릴러 영화,도서 원작 영화,사회 이슈 드라마 장르 영화,타밀어 영화",실화에 바탕을 둔 드라마 영화. 정치적 의도를 품은 안드라프라데시의 경찰이 누명을 씌우려 타밀 노동자 4명을 고문하지만 소용이 없다.,폭력적인,"디네슈 라비,사무티라카니,키쇼르 쿠마르,아난디,무루가도스,아자이 고시,",2015 ,"
청불 ", 1시간 55분 , 드라마 장르,80149139,tt4991384
0,The Prestige,"스릴러 영화,미스터리 영화,도서 원작 영화,미국 영화",경쟁 관계인 두 마술사는 상대방 마술의 비밀을 밝혀내기 위해 위험한 도전도 서슴지 않다가 결국 생명까지 위태로워진다.,"발상의 전환,긴장감 넘치는","휴 잭맨,크리스천 베일,마이클 케인,파이퍼 페라보,리베카 홀,스칼렛 요한슨,서맨사 매휴린,데이빗 보위,앤디 서키스,",2006 ,"
15+ ", 2시간 10분 , 드라마 장르,70047095,tt0482571
0,앵커,"스릴러 영화,미스터리 영화","유명 TV 앵커에게 걸려 온 섬뜩한 제보 전화. 제보 내용을 조사하던 그녀는 끔찍한 범죄 현장을 마주하고, 그 후 불길한 환영에 시달리기 시작한다.","불길한,긴장감 넘치는","천우희,이혜영,신하균,차래형,박지현,남문철,",2022 ,"
15+ ", 1시간 51분 , 스릴러,81646768,tt4472628
0,킹 오브 섀도,"프랑스 작품,스릴러 영화","아버지의 죽음 이후, 악화일로를 걷는 두 이복형제. 둘의 대립은 비극적인 결과들을 낳고, 결국 둘은 서로 함께할 수 없는 양극단에 서게 된다.",어두운,"카리스,알라산 디옹,아사 실라,카를 말라파,이사카 사와도고,하삼 간시,사뮈엘 주이,",2023 ,"
청불 ", 1시간 29분 , 드라마 장르,81576814,tt2402454
0,윈터 온 파이어: 우크라이나의 자유 투쟁,"우크라이나 작품,다큐멘터리 영화,다큐멘터리·정치,사회 & 문화 다큐멘터리",2013년 우크라이나에서 평화적으로 시작한 학생 시위가 93일 간에 걸쳐 점차 폭력 혁명과 전격적인 민권 운동으로 발전한다.,,,2015 ,"
청불 ", 1시간 38분 , 다큐멘터리,80031666,tt4908644
0,하트랜드,"드라마,가족이 함께 보는 시리즈,청춘 드라마,캐나다 작품,도서 원작 시리즈",야무진 소녀 에이미는 어머니의 갑작스럽게 죽은 충격에서 헤어나지 못 한다. 한편 에이미와 그녀의 할아버지는 목장을 잃을 수 있는 위기에 봉착한다.,"감상적,진심 어린,감정을 파고드는","앰버 마셜,미셸 모건,그레이엄 워들,숀 존스턴,크리스 포터,알리샤 뉴턴,케리 제임스,제시카 스틴,제시카 엠리,게이브리얼 호건,나다니엘 아르캉,",2007 ,"
12+ ", 시즌 9개 , 드라마 장르,70171946,tt1094229
0,트레일러 파크 보이즈,"시트콤,캐나다 작품,코미디 시리즈,범죄 시리즈",노바스코샤 트레일러 파크에서 사기 행각을 벌이는 상습 경범죄자들이면서 오랜 친구인 세 명의 남자들이 술에 취해 벌이는 각종 크고 작은 사고에 관한 이야기.,아찔하고 발칙하게,"마이크 스미스,존 폴 트렘블레이,롭 웰스,존 던스워스,패트릭 로치,코리 보리스,루시 드코트리,배리 던,사라 던스워스,제나 해리슨,마이클 잭슨,게리 제임스,타이론 파슨스,셸리 톰슨,조나단 토렌스,",2001 ,"
청불 ", 시즌 12개 , 코미디,70153385,tt0290988
0,브루클린 나인-나인,"시트콤,코미디 시리즈,범죄 시리즈,미국 TV 프로그램","경찰의 명예를 중시하는 원칙주의자 홀트 서장. 그 아래 재능은 물론 꼼수, 공갈, 운까지 총동원해서 어떻게든 사건을 해결해내는 듬직한(?) 형사들이 있는 곳. 브루클린 99 관할 경찰서에 오신 것을 환영합니다!",허당 매력,"앤디 샘버그,안드레 브라우어,스테파니 베아트리스,테리 크루스,멜리사 푸메로,조 로 트루글리오,첼시 퍼레티,더크 블로커,조엘 맥키넌 밀러,",2013 ,"
15+ ", 시즌 8개 , 코미디,70281562,tt2467372
0,보 번햄: 해피 바이러스,"음악,스탠드업 코미디","개성 있는 위트와 자학 개그의 상징, 보 번햄. 유머로 막힌 가슴을 뚫고, 자작곡으로 마음을 보듬는 그의 특별한 무대가 시작된다. 여기, 행복이 웃음과 음악을 타고 온다!","색다른,위트 있는","보 번햄,",2016 ,"
청불 ", 1시간 , 코미디,80106124,tt5192124
0,아웃랜더,"로맨틱한 드라마,정치 시리즈,드라마,도서 원작 시리즈,액션 & 어드벤처 시리즈,미국 TV 프로그램,판타지 시리즈",다이애나 개벌든의 인기 판타지 로맨스 소설 시리즈를 각색한 서사 드라마. 18세기 스코틀랜드로 타임슬립한 2차대전 군 간호사와 스코틀랜드 청년의 로맨스가 펼쳐진다.,"관능적,거부할 수 없는 이끌림,흥미진진","커트리나 밸프,샘 휴언,터바이어스 멘지스,게리 루이스,그레이엄 맥태비시,로테 페르베크,던칸 라크로익스,로라 도넬리,빌 패터슨,스티븐 월터스,그랜트 오루크,사이먼 캘로우,리처드 랭킨,소피 스켈턴,데이비드 베리,로만 베뤽스,에드 스펠리어스,마리아 도일 케네디,팀 다우니,세자르 동부아,로런 라일,콜린 맥팔레인,케이틀린 오라이언,마크 루이스 존스,",2014 ,"
청불 ", 시즌 6개 , 드라마 장르,70285581,tt3006802
0,힙합 에볼루션,"음악,캐나다 작품,힙합,다큐시리즈,사회 & 문화 다큐멘터리","지금부터 힙합의 산 역사를 만난다! 태동기부터 현재까지, 당대의 MC와 디제이, 업계 거물들이 전하는 힙합의 혁신들. 흥겨운 비트와 인터뷰로 가득한 다큐멘터리 시리즈.",도발적인,"섀드랙 커뱅고,",2016 ,"
청불 ", 시즌 4개 , 다큐멘터리,80141782,tt4130418
0,빌리언스,"드라마,미국 TV 프로그램","수단과 방법을 가리지 않고 이득을 취하는 억만장자 헤지펀드 매니저, 보비 액설로드. 야심 찬 연방 검사 척 로즈가 그에 대한 철저한 수사를 시작한다.",,"폴 지어마티,데미안 루이스,매기 시프,말린 오케르만,데이빗 코스타빌,에이샤 케이트 딜런,토비 레너드 무어,콘돌라 라샤드,켈리 오코인,제프리 드먼,댄 소더,데이빗 스트라탄,메리 루이즈 파커,클랜시 브라운,존 말코비치,",2016 ,"
청불 ", 시즌 5개 , 드라마 장르,80067290,tt4270492
0,앱스트랙트: 디자인의 미학,"다큐시리즈,사회 & 문화 다큐멘터리,미국 TV 프로그램,라이프스타일",디자이너의 또 다른 이름 '이노베이터'. 다양한 분야에서 혁신을 창출하는 디자이너들을 만나 우리의 일상 곳곳을 새로이 파고드는 디자인 세계를 짚어본다.,감명을 주는,"올라뷔르 엘리아손,네리 옥스만,루스 E. 카터,캐스 홀먼,이언 스폴터,조너선 헤플러,크리스토프 니만,팅커 햇필드,에스 데블린,비아르케 잉엘스,폴라 셰어,플라톤,일스 크로퍼드,랄프 질,",2017 ,"
15+ ", 시즌 2개 , 다큐멘터리,80057883,tt6333098
0,탑 보이: 써머하우스,"드라마,영국 작품,범죄 시리즈","영국판 마약왕의 탄생. 어느 공공 주택가에서 길거리 인생을 사는 두 남자. 이들은 살아남기 위해 마약으로 최고가 되려 한다. 돈과 권력, 배신과 복수로 점철된 암흑의 세계를 리얼하게, 스타일리시하게 보여주는 웰메이드 드라마.",어두운,"애슐리 월터스,케인 로빈슨,말콤 카물렛,숀 로뮬러스,샤론 던컨 브루스터,지아코모 만치니,자비엔 러셀,키어스턴 워레잉,제프 벨,니컬러스 피넉,",2011 ,"
청불 ", 시즌 2개 , 드라마 장르,70236561,tt1830379
0,제임스 에이캐스터: 레퍼토리,"영국 작품,코미디 시리즈,스탠드업 코미디",제임스 에이캐스터의 색다른 코미디가 온다. 낯설면서도 일상적인 인생의 모든 장면에 불쑥 난입하는 그의 코미디언 본능. 4부로 구성된 독보적 스탠드업 코미디를 맛본다.,"익살스러운,색다른,위트 있는","제임스 에이캐스터,",2018 ,"
15+ ", 시즌 1개 , 코미디,80213803,tt7818686
0,드래곤 프린스,"키즈 시리즈,가족이 함께 보는 시리즈,만화 시리즈,판타지 시리즈",다시 인간과 엘프 간의 전쟁이 시작된다. 놀라운 비밀을 알게 된 두 명의 인간 왕자와 엘프 자객. 두 왕국의 숨겨진 진실을 밝히자! 한뜻이 된 그들은 함께 모험을 떠난다.,흥미진진,"잭 디세나,사샤 로젠,제이슨 심슨,라켈 벨몬테,제시 이노칼라,에릭 델럼스,폴라 버로스,오마리 뉴턴,빈센트 통,레나 아나퀘,조너선 홈스,",2018 ,"
전체관람가 ", 시즌 4개 , 키즈,80212245,tt8688814
0,명예훈장,"드라마,다큐멘터리·역사,다큐멘터리·밀리터리,다큐시리즈,미국 TV 프로그램,다큐드라마","미국 최고의 영예, 명예훈장의 주인공들. 이제는 전설이 된 이들의 놀라운 이야기가 부활한다. 처절한 전장에서 빛을 발한 영웅들의 용기를 조명하는 다큐멘터리 드라마.",감명을 주는,"올리버 허드슨,벤 슈워츠,폴 웨슬리,알디스 호지,조니 웨스턴,조지프 크로스,제이크 에이블,데릭 미오,",2018 ,"
청불 ", 시즌 1개 , 다큐멘터리,80169786,tt7440274
0,나르코스: 멕시코,"드라마,액션 & 어드벤처 시리즈,범죄 시리즈,미국 TV 프로그램,스릴러 시리즈,TV 프로그램·실화 바탕",세상을 지배하려는 멕시코 마약왕. 누가 검은 야욕을 막을 것인가. 부패한 권력? 무너진 정의? 세상을 지키려는 신념으로 뭉친 미국 마약단속국 요원이 그를 뒤쫓는다.,"어두운,흥미진진","디에고 루나,마이클 페냐,스쿠트 맥네리,테노크 휴에타,호아킨 코시오,호세 마리아 야스피크,맷 레처,알리사 디아스,알폰소 도살,알레한드로 에다,알베르토 아만,마이라 에르모시요,루이사 루비노,루이스 헤라르도 멘데스,소시 베이컨,",2018 ,"
청불 ", 시즌 3개 , 드라마 장르,80997085,tt8714904
0,데리 걸스,"시트콤,청춘 드라마,영국 작품,청소년 시리즈,코미디 시리즈",분쟁 중인 1990년대의 북아일랜드. 활기 탱천한 다섯 친구는 오늘도 10대라는 복잡미묘한 세계 속에서 전쟁 같은 하루를 보낸다.,"위트 있는,유쾌 발랄","시어샤-모니카 잭슨,니컬라 코클런,루이자 할런드,제이미-리 오도넬,딜런 루엘린,타라 린 오닐,캐시 키라 클라크,토미 티어넌,이안 맥엘히니,시오반 맥스위니,",2018 ,"
청불 ", 시즌 3개 , 코미디,80238565,tt7120662
0,애프터 라이프 앵그리맨,"드라마,영국 작품,코미디 시리즈",아내가 세상을 떠나고 홀로 남은 지역 신문기자 토니. 상실감에 빠진 그는 매사에 최대한 삐딱하게 굴기 시작한다. 더는 사람들이 그의 곁에 다가오지 못하도록.,"위트 있는,달콤 쌉싸름","리키 저베이스,톰 배즈든,토니 웨이,다이앤 모건,맨디프 딜런,데이비드 브래들리,애슐리 젠슨,케리 고들리먼,퍼넬러피 윌턴,조 하틀리,폴 케이,로신 코너티,조 윌킨슨,데이비드 얼,이선 로런스,캐스 휴스,",2019 ,"
청불 ", 시즌 3개 , 코미디,80998491,tt8398600
0,믿을 수 없는 이야기,"드라마,범죄 시리즈,미국 TV 프로그램,TV 프로그램·실화 바탕","허위로 강간 신고를 했다는 소녀. 비난은 거셌고, 사건은 서둘러 종결됐다. 그러나 비슷한 사건이 발생하자, 두 형사가 공조 수사에 나선다. 실화를 바탕으로 한 작품.","달콤 쌉싸름,감정을 파고드는","토니 콜렛,메릿 위버,케이틀린 디버,데일 딕키,스콧 로렌스,대니엘 맥도널드,오스틴 허버트,에릭 랭,엘리자베스 마블,",2019 ,"
청불 ", 시즌 1개 , 드라마 장르,80153467,tt7909970
0,탑 보이,"드라마,영국 작품,범죄 시리즈","돈과 권력을 좇아, 런던의 어두운 뒷골목으로 돌아온 두 명의 마약상. 젊고 패기 넘치는 놈이 노련한 이들의 앞길을 막는다. 그들은 과거의 영광을 재현할 수 있을까.",감정을 파고드는,"애슐리 월터스,케인 로빈슨,마이클 워드,심비아투 아지카워,숀 로뮬러스,재스민 좁슨,리사 드완,카딤 램지,호프 익포쿠 주니어,아랄로인 오슌레미,데이비드 오모레기,케이언 쿡,졸라데 오바숄라,놀레이,",2019 ,"
청불 ", 시즌 2개 , 드라마 장르,80217669,tt1830379
0,퀴어 아이: 일본을 달궈라!,"리얼리티 시리즈,미국 TV 프로그램,라이프스타일","새로운 도시 도쿄에 진출한 멋쟁이 5인방. 삶의 기쁨을 전하고, 문화 탐방에 나서볼까? 장기인 메이크오버도 빼놓을 순 없지. 네 명의 주인공들에게 눈부신 삶을 선물하자.","기분 좋아지는,진심 어린","바비 버크,카라모 브라운,탠 프랜스,안토니 퍼로스키,조너선 밴 네스,미즈하라 키코,",2019 ,"
15+ ", 시즌 1개 , 리얼리티 TV,81075744,tt10971532
0,지구의 밤,"가족이 함께 보는 시리즈,영국 작품,자연 & 생태 다큐멘터리,과학 & 자연 TV 프로그램,과학 & 자연 다큐멘터리,다큐시리즈","밤이 오고, 카메라가 어둠 속을 응시한다. 첨단 기술의 도움으로 담은 경이로운 풍경. 사냥 중인 사자 무리부터 비행하는 박쥐 떼까지, 동물들의 숨겨진 생태가 드러난다.",힐링,"서미라 와일리,",2020 ,"
전체관람가 ", 시즌 1개 , 다큐멘터리,80218938,tt11497922
0,하이에나,"드라마,법정 시리즈,한국 드라마,사회 문제를 다룬 드라마","머리 쓰는 법정 다툼? 먹고 먹히는 생존 싸움! 처절한 전쟁에서 살아남으려는 두 라이벌 변호사. 상류층 고객의 만족, 불타는 야망의 성취를 위해서라면, 뭔들 못 하겠어?",색다른,"김혜수,주지훈,이경영,김호정,송영규,황보라,전석호,현봉식,박세진,",2020 ,"
15+ ", 시즌 1개 , 드라마 장르,81177545,tt11534164
0,모노노케 히메,"SF & 판타지 애니,가족 영화,액션 애니,어린이 & 가족 영화,일본 작품,액션 & 어드벤처 영화,애니메이션 영화",인간을 향한 자연의 증오. 부족을 책임져야 하는 청년 아시타카의 팔에 저주가 되어 새겨진다. 시시각각 다가오는 죽음을 막기 위해 여행을 떠난 아시타카. 하지만 그가 도착한 곳은 인간과 자연의 또 다른 전쟁터였다.,달콤 쌉싸름,"마쓰다 요지,이시다 유리코,타나카 유코,코바야시 카오루,니시무라 마사히코,가미조 쓰네히코,시마모토 스미,와타나베 데쓰,사토 마코토,나고야 아키라,미와 아키히로,모리 미쓰코,모리시게 히사야,",1997 ,"
전체관람가 ", 2시간 14분 , 애니,28630857,tt0119698
0,라임 타임 타운,"키즈 시리즈,어린이 음악,만화 시리즈","동요 속 친구들로 가득한 마을. 도움이 필요한 곳, 신나는 모험이 있는 곳이라면, 데이지와 콜이 달려갑니다. 문제가 생기면 어떡하냐고요? 노래 속에 해결책이 있답니다!",,"루크 에이미스,애너벨 웨스텐홀츠-스미스,매디 에번스,주드 뮤어,",2020 ,"
전체관람가 ", 시즌 2개 , 키즈,80226787,tt9165434
0,줄리 앤 팬텀스,"키즈 시리즈,가족이 함께 보는 시리즈,어린이 음악,코미디 시리즈","엄마를 잃었다. 음악을 향한 열정도 잃었다. 그런 줄리 앞에 나타난 세 명의 유령 소년. 그 애들과 있으면, 이상하게 기운이 난다. 그래, 우리 함께 밴드를 만드는 거야!","감명을 주는,기분 좋아지는","매디슨 레예스,찰리 길레스피,오언 패트릭 조이너,제러미 셰이다,제이다 마리,사샤 칼슨,서배너 리 메이,샤이엔 잭슨,카를로스 폰세,부부 스튜어트,소니 부스타만테,",2020 ,"
전체관람가 ", 시즌 1개 , 키즈,80230534,tt10183988
0,모술,"중동 영화,밀리터리 영화,실화 바탕 영화,액션 & 어드벤처 영화",ISIS의 점령으로 살상과 고문이 일상이 된 이라크 모술. 막 삼촌을 잃은 젊은 경찰은 엘리트 경찰 팀 덕에 목숨을 건지면서 팀 대원으로 합류한다. 테러리스트에 맞선 마지막 임무의 시작. 적의 심장부를 향해 전진하라.,,"수헤일 다바치,아당 베사,이스하크 엘리아스,쿠타이바 압델하크,아흐베드 엘가넴,히샴 와르카,모히멘 마흐부바,사에르 알샤예이,압델라 벤사이드,파이살 아투기,모하메드 아투기,타리크 벨메키,하야트 카밀,시마 알칼리디,왈리드 알가디,",2020 ,"
15+ ", 1시간 42분 , 액션,81041495,tt8354112
0,메멘토: 리마스터링,"인디 영화,스릴러 영화,미스터리 영화,미국 영화","끔찍했던 그 날, 머리를 다치고 단기 기억 상실증에 걸린 남자. 새로 일어나는 일을 10분이면 모두 잊어버리는 심각한 장애에도, 아내를 죽인 자를 알아내 복수하겠다는 집념에 불탄다. 기억할 수 없다면, 사진, 메모, 문신에 의지하라.","발상의 전환,어두운","가이 피어스,캐리앤 모스,조 판토리아노,마크 분 주니어,스티븐 토벌라우스키,해리엇 샘슨 해리스,칼럼 키스 레니,래리 홀든,",2000 ,"
15+ ", 1시간 53분 , 스릴러,60020435,tt0209144
0,죠죠의 기묘한 모험,"일본 소년 만화를 만나다,SF & 판타지 애니,액션 애니,일본 작품,애니 시리즈,일본 만화 원작 시리즈","유서 깊은 죠스타 가문에 얽힌 기묘한 이야기를 아는가. 각기 다른 세상에서 애칭 '죠죠'를 공유하며 살아가는 주인공들. 시간적 공간적 배경은 달라도, 추구하는 가치는 다르지 않다. 악의 세력을 물리치고 정의가 이기는 세상을 만들라.","긴박감 넘치는,흥미진진","오키츠 카즈유키,스기타 토모카즈,오노 다이스케,이시즈카 운쇼,오노 켄쇼,코야스 타케히토,시오야 요쿠,우에다 요지,카와스미 아야코,사토 타쿠야,타나카 아츠코,이마루오카 아쓰시,히라카와 다이스케,고마쓰 후미노리,미야케 켄타,후쿠엔 미사토,카지 유우키,타카기 와타루,사쿠라이 타카히로,나카무라 유이치,스와베 준이치,도리우미 고스케,야마시타 다이키,에노키 준야,파이루즈 아이,타무라 무츠미,이세 마리야,타네자키 아츠미,우메하라 유이치로,나미카와 다이스케,",2012 ,"
청불 ", 시즌 5개 , 애니,80179831,tt2359704
0,이지파생활,"로맨틱한 드라마,드라마,중국 본토 시리즈",여자라고 막 대하는 상사. 결혼하라 채근하는 엄마. 호시탐탐 그녀를 노리는 동료들. 직장에서 홀로 분투해온 성공한 30대 커리어우먼. 그녀에게 '내 편'이 생겼다. 이제 두려울 게 없다.,"위트 있는,감명을 주는,감정을 파고드는","친란,왕허디,리쭝한,바오원징,판훙,천펑완리,린신이,캉캉,웨이이보,허빈,",2021 ,"
12+ ", 시즌 1개 , 로맨스,81452916,tt14376958
0,겁쟁이 고양이들의 모험,"키즈 시리즈,가족이 함께 보는 시리즈,캐나다 작품,코미디 시리즈,판타지 시리즈","말하는 동물, 숨는 물약 그리고 마법 책. 이게 다 무슨 일? 윌라 워드가 12번째 생일 선물로 받은 아주 아주 특별한 물건 때문이지. 친구들, 우리 함께 마법의 세계로 가지 않을래?",,"소피아 리드갠처트,대프니 호스킨스,에이바 오거스틴,캐롤린 테일러,마이클 테이건,로런 맥기번,지비 앨런,리스 슬랙,프레드 어와닉,에이프릴 텔렉,빌 라이터,",2021 ,"
전체관람가 ", 시즌 1개 , 키즈,81329721,tt1323541
